Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,3.0,NULL,1.67,2017-03-16T13:38:02.164000
20031006,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,14.0,NULL,5.98,2017-03-16T13:38:45.858000
20031007,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,9.0,NULL,4.12,2017-03-16T13:39:29.686000
20031008,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,2.0,2.0,1.08,2017-03-16T13:40:14.192000
20031009,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.1,2017-03-16T13:40:58.759000
20031010,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,-3.0,0.0,2017-03-16T13:43:10.187000
20031013,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,-14.0,0.0,2017-03-16T13:43:52.658000
20031014,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,-9.0,0.0,2017-03-16T13:44:35.191000
20031015,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,-2.0,0.0,2017-03-16T13:45:18.056000
20031016,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,ABEC2,ARKANSAS RVR,0.0,0.0,84.5,76.0,76.0,24.31,2017-03-16T14:01:06.282000
20031103,ABEC2,ARKANSAS RVR,0.0,1.0,84.5,111.0,111.0,25.59,2017-03-16T14:01:51.094000
20031104,ABEC2,ARKANSAS RVR,0.1,2.0,84.5,357.0,357.0,80.98,2017-03-16T14:02:37.829000
20031105,ABEC2,ARKANSAS RVR,0.1,1.0,84.5,261.0,261.0,43.53,2017-03-16T14:03:25.415000
20031106,ABEC2,ARKANSAS RVR,0.1,1.0,84.5,257.0,NULL,40.1,2017-03-16T14:04:12.777000
20031107,ABEC2,ARKANSAS RVR,0.1,1.0,84.5,230.0,230.0,35.0,2017-03-16T14:04:58.677000
20031108,ABEC2,ARKANSAS RVR,0.0,1.0,84.5,224.0,224.0,33.04,2017-03-16T14:05:46.289000
20031109,ABEC2,ARKANSAS RVR,0.1,2.0,84.5,363.0,287.0,75.98,2017-03-16T14:06:34.841000
20031110,ABEC2,ARKANSAS RVR,0.1,1.0,84.5,244.0,133.0,30.0,2017-03-16T14:07:25.172000
20031111,ABEC2,ARKANSAS RVR,0.1,2.0,84.5,324.0,-33.0,36.08,2017-03-16T14:08:14.646000
20031112,ABEC2,ARKANSAS RVR,0.1,2.0,84.5,367.0,106.0,35.78,2017-03-16T14:09:02.733000
20031113,ABEC2,ARKANSAS RVR,0.1,2.0,84.5,327.0,70.0,32.16,2017-03-16T14:09:50.769000
20031114,ABEC2,ARKANSAS RVR,0.1,3.0,84.5,507.0,277.0,91.86,2017-03-16T14:10:38.497000
20031115,ABEC2,ARKANSAS RVR,0.1,4.0,84.5,652.0,428.0,92.75,2017-03-16T14:11:29.080000
20031116,ABEC2,ARKANSAS RVR,0.1,3.0,84.5,614.0,251.0,75.78,2017-03-16T14:12:18.074000
20031117,ABEC2,ARKANSAS RVR,0.1,3.0,84.5,519.0,275.0,51.67,2017-03-16T14:13:06.409000
20031118,ABEC2,ARKANSAS RVR,0.3,7.0,84.5,1268.0,944.0,100.0,2017-03-16T14:13:54.203000
20031119,ABEC2,ARKANSAS RVR,0.3,6.0,84.5,1142.0,775.0,96.18,2017-03-16T14:14:41.638000
20031120,ABEC2,ARKANSAS RVR,1.2,31.0,84.5,5556.0,5229.0,99.31,2017-03-16T14:15:29.467000
20031121,ABEC2,ARKANSAS RVR,1.1,28.0,84.5,4970.0,4463.0,98.43,2017-03-16T14:16:16.538000
20031122,ABEC2,ARKANSAS RVR,1.0,26.0,84.5,4669.0,4017.0,97.45,2017-03-16T14:17:01.650000
20031123,ABEC2,ARKANSAS RVR,1.0,27.0,84.5,4705.0,4091.0,99.41,2017-03-16T14:17:49.103000
20031124,ABEC2,ARKANSAS RVR,1.0,26.0,84.5,4615.0,4096.0,97.16,2017-03-16T14:18:39.550000
20031125,ABEC2,ARKANSAS RVR,1.0,25.0,84.5,4384.0,3116.0,93.82,2017-03-16T14:19:30.263000
20031126,ABEC2,ARKANSAS RVR,0.9,24.0,84.5,4258.0,3116.0,92.25,2017-03-16T14:20:19.496000
20031127,ABEC2,ARKANSAS RVR,1.0,26.0,84.5,4635.0,-921.0,96.76,2017-03-16T14:21:10.268000
20031128,ABEC2,ARKANSAS RVR,1.0,26.0,84.5,4586.0,-384.0,95.59,2017-03-16T14:22:00.241000
20031129,ABEC2,ARKANSAS RVR,1.0,25.0,84.5,4440.0,-229.0,91.67,2017-03-16T14:22:50.589000
20031130,ABEC2,ARKANSAS RVR,0.9,24.0,84.5,4178.0,-527.0,88.53,2017-03-16T14:23:40.706000
20031201,ABEC2,ARKANSAS RVR,0.9,22.0,84.5,3965.0,-650.0,85.2,2017-03-16T14:28:18.902000
20031202,ABEC2,ARKANSAS RVR,1.2,31.0,84.5,5482.0,1098.0,86.47,2017-03-16T14:29:08.278000
20031203,ABEC2,ARKANSAS RVR,1.2,30.0,84.5,5257.0,999.0,85.0,2017-03-16T14:29:56.056000
20031204,ABEC2,ARKANSAS RVR,1.1,29.0,84.5,5124.0,489.0,83.73,2017-03-16T14:30:45.111000
20031205,ABEC2,ARKANSAS RVR,1.1,28.0,84.5,5009.0,423.0,82.35,2017-03-16T14:31:36.506000
20031206,ABEC2,ARKANSAS RVR,1.1,28.0,84.5,4884.0,444.0,81.08,2017-03-16T14:32:28.831000
20031207,ABEC2,ARKANSAS RVR,1.0,26.0,84.5,4538.0,360.0,74.02,2017-03-16T14:33:19.356000
20031208,ABEC2,ARKANSAS RVR,1.0,25.0,84.5,4427.0,462.0,72.35,2017-03-16T14:34:10.987000
20031209,ABEC2,ARKANSAS RVR,1.0,27.0,84.5,4729.0,-753.0,100.0,2017-03-16T14:35:03.321000
20031210,ABEC2,ARKANSAS RVR,1.0,26.0,84.5,4653.0,-604.0,99.9,2017-03-16T14:35:56.519000
20031211,ABEC2,ARKANSAS RVR,1.0,25.0,84.5,4513.0,-611.0,74.41,2017-03-16T14:36:55.587000
20031212,ABEC2,ARKANSAS RVR,1.3,34.0,84.5,6055.0,1046.0,97.84,2017-03-16T14:37:50.022000
20031213,ABEC2,ARKANSAS RVR,1.3,34.0,84.5,6020.0,1136.0,97.65,2017-03-16T14:38:45.459000
20031214,ABEC2,ARKANSAS RVR,1.3,33.0,84.5,5916.0,1378.0,97.65,2017-03-16T14:39:39.541000
20031215,ABEC2,ARKANSAS RVR,1.3,32.0,84.5,5716.0,1289.0,92.16,2017-03-16T14:40:36.389000
20031216,ABEC2,ARKANSAS RVR,1.4,36.0,84.5,6350.0,1621.0,100.0,2017-03-16T14:41:33.280000
20031217,ABEC2,ARKANSAS RVR,1.4,35.0,84.5,6229.0,1576.0,100.0,2017-03-16T14:42:27.074000
20031218,ABEC2,ARKANSAS RVR,1.3,34.0,84.5,5977.0,1464.0,96.57,2017-03-16T14:43:24.487000
20031219,ABEC2,ARKANSAS RVR,1.7,42.0,84.5,7500.0,1445.0,100.0,2017-03-16T14:44:18.402000
20031220,ABEC2,ARKANSAS RVR,1.6,41.0,84.5,7292.0,1272.0,100.0,2017-03-16T14:45:11.339000
20031221,ABEC2,ARKANSAS RVR,1.5,39.0,84.5,6922.0,1006.0,100.0,2017-03-16T14:46:03.653000
20031222,ABEC2,ARKANSAS RVR,1.5,38.0,84.5,6799.0,1083.0,100.0,2017-03-16T14:46:56.747000
20031223,ABEC2,ARKANSAS RVR,1.5,38.0,84.5,6757.0,407.0,99.8,2017-03-16T14:47:47.215000
20031224,ABEC2,ARKANSAS RVR,1.5,37.0,84.5,6566.0,337.0,96.47,2017-03-16T14:48:40.486000
20031225,ABEC2,ARKANSAS RVR,1.4,36.0,84.5,6358.0,381.0,93.04,2017-03-16T14:49:34.990000
20031226,ABEC2,ARKANSAS RVR,1.4,35.0,84.5,6227.0,-1273.0,90.49,2017-03-16T14:50:27.454000
20031227,ABEC2,ARKANSAS RVR,1.5,38.0,84.5,6723.0,-569.0,100.0,2017-03-16T14:51:20.948000
20031228,ABEC2,ARKANSAS RVR,1.6,41.0,84.5,7208.0,286.0,100.0,2017-03-16T14:52:14.192000
20031229,ABEC2,ARKANSAS RVR,1.6,41.0,84.5,7207.0,408.0,100.0,2017-03-16T14:53:06.956000
20031230,ABEC2,ARKANSAS RVR,1.9,48.0,84.5,8441.0,1684.0,100.0,2017-03-16T14:53:59.959000
20031231,ABEC2,ARKANSAS RVR,1.9,47.0,84.5,8425.0,1859.0,100.0,2017-03-16T14:54:52.875000
20040101,ABEC2,ARKANSAS RVR,1.8,46.0,84.5,8183.0,1825.0,100.0,2017-03-16T14:59:13.155000
20040102,ABEC2,ARKANSAS RVR,1.8,45.0,84.5,7961.0,1734.0,100.0,2017-03-16T15:00:07.453000
20040103,ABEC2,ARKANSAS RVR,2.0,51.0,84.5,8975.0,2252.0,100.0,2017-03-16T15:01:03.882000
20040104,ABEC2,ARKANSAS RVR,2.3,58.0,84.5,10326.0,3118.0,100.0,2017-03-16T15:02:00.471000
20040105,ABEC2,ARKANSAS RVR,2.3,59.0,84.5,10503.0,3296.0,100.0,2017-03-16T15:02:57.052000
20040106,ABEC2,ARKANSAS RVR,2.7,69.0,84.5,12259.0,3818.0,100.0,2017-03-16T15:03:51.798000
