Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,48.0,NULL,10.17,2017-03-16T13:38:45.858000
20031007,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,1.0,1.0,0.11,2017-03-16T13:40:14.192000
20031009,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,-48.0,0.0,2017-03-16T13:43:52.658000
20031014,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,-1.0,0.0,2017-03-16T13:45:18.056000
20031016,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,0.0,224.7,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,1.0,224.7,341.0,341.0,50.39,2017-03-16T14:01:06.282000
20031103,ALTC2L_F,TAYLOR RIVER - ALMONT,0.0,1.0,224.7,547.0,547.0,52.64,2017-03-16T14:01:51.094000
20031104,ALTC2L_F,TAYLOR RIVER - ALMONT,0.1,3.0,224.7,1260.0,1260.0,77.04,2017-03-16T14:02:37.829000
20031105,ALTC2L_F,TAYLOR RIVER - ALMONT,0.1,2.0,224.7,1070.0,1070.0,67.6,2017-03-16T14:03:25.415000
20031106,ALTC2L_F,TAYLOR RIVER - ALMONT,0.1,2.0,224.7,952.0,NULL,62.59,2017-03-16T14:04:12.777000
20031107,ALTC2L_F,TAYLOR RIVER - ALMONT,0.1,2.0,224.7,799.0,799.0,53.74,2017-03-16T14:04:58.677000
20031108,ALTC2L_F,TAYLOR RIVER - ALMONT,0.1,2.0,224.7,708.0,708.0,48.1,2017-03-16T14:05:46.289000
20031109,ALTC2L_F,TAYLOR RIVER - ALMONT,0.1,3.0,224.7,1467.0,1126.0,100.0,2017-03-16T14:06:34.841000
20031110,ALTC2L_F,TAYLOR RIVER - ALMONT,0.1,2.0,224.7,1032.0,485.0,67.78,2017-03-16T14:07:25.172000
20031111,ALTC2L_F,TAYLOR RIVER - ALMONT,0.2,5.0,224.7,2359.0,1099.0,100.0,2017-03-16T14:08:14.646000
20031112,ALTC2L_F,TAYLOR RIVER - ALMONT,0.2,5.0,224.7,2392.0,1322.0,99.26,2017-03-16T14:09:02.733000
20031113,ALTC2L_F,TAYLOR RIVER - ALMONT,0.2,4.0,224.7,2111.0,1159.0,95.5,2017-03-16T14:09:50.769000
20031114,ALTC2L_F,TAYLOR RIVER - ALMONT,0.2,6.0,224.7,2783.0,1984.0,97.6,2017-03-16T14:10:38.497000
20031115,ALTC2L_F,TAYLOR RIVER - ALMONT,0.3,7.0,224.7,3481.0,2773.0,100.0,2017-03-16T14:11:29.080000
20031116,ALTC2L_F,TAYLOR RIVER - ALMONT,0.3,7.0,224.7,3360.0,1893.0,98.16,2017-03-16T14:12:18.074000
20031117,ALTC2L_F,TAYLOR RIVER - ALMONT,0.3,7.0,224.7,3092.0,2060.0,95.65,2017-03-16T14:13:06.409000
20031118,ALTC2L_F,TAYLOR RIVER - ALMONT,0.4,11.0,224.7,5383.0,3024.0,100.0,2017-03-16T14:13:54.203000
20031119,ALTC2L_F,TAYLOR RIVER - ALMONT,0.4,11.0,224.7,5149.0,2757.0,100.0,2017-03-16T14:14:41.638000
20031120,ALTC2L_F,TAYLOR RIVER - ALMONT,1.4,36.0,224.7,16842.0,14731.0,99.71,2017-03-16T14:15:29.467000
20031121,ALTC2L_F,TAYLOR RIVER - ALMONT,1.3,34.0,224.7,16171.0,13388.0,97.24,2017-03-16T14:16:16.538000
20031122,ALTC2L_F,TAYLOR RIVER - ALMONT,1.3,33.0,224.7,15610.0,12129.0,92.37,2017-03-16T14:17:01.650000
20031123,ALTC2L_F,TAYLOR RIVER - ALMONT,1.3,33.0,224.7,15477.0,12117.0,90.01,2017-03-16T14:17:49.103000
20031124,ALTC2L_F,TAYLOR RIVER - ALMONT,1.3,32.0,224.7,15331.0,12239.0,88.43,2017-03-16T14:18:39.550000
20031125,ALTC2L_F,TAYLOR RIVER - ALMONT,1.3,32.0,224.7,15083.0,9700.0,86.4,2017-03-16T14:19:30.263000
20031126,ALTC2L_F,TAYLOR RIVER - ALMONT,1.2,31.0,224.7,14849.0,9700.0,83.67,2017-03-16T14:20:19.496000
20031127,ALTC2L_F,TAYLOR RIVER - ALMONT,1.3,32.0,224.7,15311.0,-1531.0,84.89,2017-03-16T14:21:10.268000
20031128,ALTC2L_F,TAYLOR RIVER - ALMONT,1.3,32.0,224.7,15193.0,-978.0,84.3,2017-03-16T14:22:00.241000
20031129,ALTC2L_F,TAYLOR RIVER - ALMONT,1.3,32.0,224.7,14980.0,-630.0,83.67,2017-03-16T14:22:50.589000
20031130,ALTC2L_F,TAYLOR RIVER - ALMONT,1.2,31.0,224.7,14535.0,-942.0,81.83,2017-03-16T14:23:40.706000
20031201,ALTC2L_F,TAYLOR RIVER - ALMONT,1.2,30.0,224.7,14253.0,-1078.0,80.76,2017-03-16T14:28:18.902000
20031202,ALTC2L_F,TAYLOR RIVER - ALMONT,1.2,29.0,224.7,13901.0,-1182.0,79.84,2017-03-16T14:29:08.278000
20031203,ALTC2L_F,TAYLOR RIVER - ALMONT,1.1,29.0,224.7,13516.0,-1333.0,77.77,2017-03-16T14:29:56.056000
20031204,ALTC2L_F,TAYLOR RIVER - ALMONT,1.1,28.0,224.7,13260.0,-2051.0,77.15,2017-03-16T14:30:45.111000
20031205,ALTC2L_F,TAYLOR RIVER - ALMONT,1.1,28.0,224.7,13019.0,-2174.0,75.27,2017-03-16T14:31:36.506000
20031206,ALTC2L_F,TAYLOR RIVER - ALMONT,1.1,27.0,224.7,12788.0,-2192.0,73.98,2017-03-16T14:32:28.831000
20031207,ALTC2L_F,TAYLOR RIVER - ALMONT,1.0,26.0,224.7,12365.0,-2170.0,71.99,2017-03-16T14:33:19.356000
20031208,ALTC2L_F,TAYLOR RIVER - ALMONT,1.0,26.0,224.7,12160.0,-2093.0,71.43,2017-03-16T14:34:10.987000
20031209,ALTC2L_F,TAYLOR RIVER - ALMONT,1.1,28.0,224.7,13296.0,-605.0,100.0,2017-03-16T14:35:03.321000
20031210,ALTC2L_F,TAYLOR RIVER - ALMONT,1.1,28.0,224.7,13094.0,-422.0,99.37,2017-03-16T14:35:56.519000
20031211,ALTC2L_F,TAYLOR RIVER - ALMONT,1.1,27.0,224.7,12838.0,-422.0,90.49,2017-03-16T14:36:55.587000
20031212,ALTC2L_F,TAYLOR RIVER - ALMONT,2.1,52.0,224.7,24594.0,11575.0,99.82,2017-03-16T14:37:50.022000
20031213,ALTC2L_F,TAYLOR RIVER - ALMONT,2.0,52.0,224.7,24485.0,11697.0,99.78,2017-03-16T14:38:45.459000
20031214,ALTC2L_F,TAYLOR RIVER - ALMONT,2.0,52.0,224.7,24313.0,11948.0,99.78,2017-03-16T14:39:39.541000
20031215,ALTC2L_F,TAYLOR RIVER - ALMONT,2.0,51.0,224.7,24023.0,11863.0,99.71,2017-03-16T14:40:36.389000
20031216,ALTC2L_F,TAYLOR RIVER - ALMONT,2.2,55.0,224.7,25939.0,12643.0,100.0,2017-03-16T14:41:33.280000
20031217,ALTC2L_F,TAYLOR RIVER - ALMONT,2.1,54.0,224.7,25710.0,12616.0,100.0,2017-03-16T14:42:27.074000
