Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:01:06.282000
20031103,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:01:51.094000
20031104,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:02:37.829000
20031105,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:03:25.415000
20031106,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,NULL,0.0,2017-03-16T14:04:12.777000
20031107,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:04:58.677000
20031108,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:05:46.289000
20031109,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:06:34.841000
20031110,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:07:25.172000
20031111,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:08:14.646000
20031112,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:09:02.733000
20031113,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:09:50.769000
20031114,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:10:38.497000
20031115,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:11:29.080000
20031116,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:12:18.074000
20031117,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:13:06.409000
20031118,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:13:54.203000
20031119,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:14:41.638000
20031120,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:15:29.467000
20031121,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:16:16.538000
20031122,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:17:01.650000
20031123,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,372.0,372.0,100.0,2017-03-16T14:17:49.103000
20031124,BTCANYLO,BTCANYCO <8000ft,0.1,2.0,55.2,247.0,247.0,100.0,2017-03-16T14:18:39.550000
20031125,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,2.0,2.0,1.8,2017-03-16T14:19:30.263000
20031126,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.15,2017-03-16T14:20:19.496000
20031127,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:21:10.268000
20031128,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:22:00.241000
20031129,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:22:50.589000
20031130,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-372.0,0.0,2017-03-16T14:23:40.706000
20031201,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-247.0,0.0,2017-03-16T14:28:18.902000
20031202,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-2.0,0.0,2017-03-16T14:29:08.278000
20031203,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:29:56.056000
20031204,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:30:45.111000
20031205,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:31:36.506000
20031206,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:32:28.831000
20031207,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:33:19.356000
20031208,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:34:10.987000
20031209,BTCANYLO,BTCANYCO <8000ft,0.3,8.0,55.2,884.0,884.0,100.0,2017-03-16T14:35:03.321000
20031210,BTCANYLO,BTCANYCO <8000ft,0.3,7.0,55.2,796.0,796.0,100.0,2017-03-16T14:35:56.519000
20031211,BTCANYLO,BTCANYCO <8000ft,0.2,5.0,55.2,626.0,626.0,100.0,2017-03-16T14:36:55.587000
20031212,BTCANYLO,BTCANYCO <8000ft,0.3,8.0,55.2,946.0,946.0,81.68,2017-03-16T14:37:50.022000
20031213,BTCANYLO,BTCANYCO <8000ft,0.3,7.0,55.2,844.0,844.0,80.48,2017-03-16T14:38:45.459000
20031214,BTCANYLO,BTCANYCO <8000ft,0.2,5.0,55.2,610.0,610.0,78.68,2017-03-16T14:39:39.541000
20031215,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,128.0,128.0,24.47,2017-03-16T14:40:36.389000
20031216,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,100.0,-784.0,19.97,2017-03-16T14:41:33.280000
20031217,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,62.0,-734.0,12.91,2017-03-16T14:42:27.074000
20031218,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,27.0,-599.0,8.11,2017-03-16T14:43:24.487000
20031219,BTCANYLO,BTCANYCO <8000ft,0.2,4.0,55.2,488.0,-458.0,75.08,2017-03-16T14:44:18.402000
20031220,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,66.0,-778.0,21.47,2017-03-16T14:45:11.339000
20031221,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-610.0,0.0,2017-03-16T14:46:03.653000
20031222,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-128.0,0.0,2017-03-16T14:46:56.747000
20031223,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,124.0,24.0,87.54,2017-03-16T14:47:47.215000
20031224,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-62.0,0.0,2017-03-16T14:48:40.486000
20031225,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-27.0,0.0,2017-03-16T14:49:34.990000
20031226,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-488.0,0.0,2017-03-16T14:50:27.454000
20031227,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-66.0,0.0,2017-03-16T14:51:20.948000
20031228,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:52:14.192000
20031229,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T14:53:06.956000
20031230,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,48.0,-76.0,21.02,2017-03-16T14:53:59.959000
20031231,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,17.0,17.0,5.86,2017-03-16T14:54:52.875000
20040101,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,9.0,9.0,3.6,2017-03-16T14:59:13.155000
20040102,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,3.0,3.0,1.2,2017-03-16T15:00:07.453000
20040103,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,139.0,139.0,46.55,2017-03-16T15:01:03.882000
20040104,BTCANYLO,BTCANYCO <8000ft,0.2,4.0,55.2,495.0,495.0,100.0,2017-03-16T15:02:00.471000
20040105,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,402.0,402.0,100.0,2017-03-16T15:02:57.052000
20040106,BTCANYLO,BTCANYCO <8000ft,0.4,11.0,55.2,1239.0,1191.0,87.24,2017-03-16T15:03:51.798000
20040107,BTCANYLO,BTCANYCO <8000ft,0.4,10.0,55.2,1155.0,1138.0,84.83,2017-03-16T15:04:49.609000
20040108,BTCANYLO,BTCANYCO <8000ft,0.3,8.0,55.2,978.0,969.0,83.48,2017-03-16T15:05:45.659000
20040109,BTCANYLO,BTCANYCO <8000ft,0.2,6.0,55.2,716.0,713.0,81.53,2017-03-16T15:06:44.051000
20040110,BTCANYLO,BTCANYCO <8000ft,0.2,5.0,55.2,538.0,399.0,76.43,2017-03-16T15:07:39.864000
20040111,BTCANYLO,BTCANYCO <8000ft,0.1,2.0,55.2,197.0,-298.0,23.72,2017-03-16T15:08:35.443000
20040112,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,102.0,-300.0,19.67,2017-03-16T15:09:30.992000
20040113,BTCANYLO,BTCANYCO <8000ft,0.2,5.0,55.2,532.0,-707.0,72.22,2017-03-16T15:10:25.167000
20040114,BTCANYLO,BTCANYCO <8000ft,0.1,2.0,55.2,192.0,-963.0,39.79,2017-03-16T15:11:21.015000
20040115,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,92.0,-886.0,19.52,2017-03-16T15:12:15.135000
20040116,BTCANYLO,BTCANYCO <8000ft,0.2,6.0,55.2,701.0,-15.0,74.92,2017-03-16T15:13:09.087000
20040117,BTCANYLO,BTCANYCO <8000ft,0.2,5.0,55.2,535.0,-3.0,71.02,2017-03-16T15:14:02.809000
20040118,BTCANYLO,BTCANYCO <8000ft,0.2,4.0,55.2,494.0,297.0,70.42,2017-03-16T15:14:56.229000
20040119,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,378.0,276.0,69.07,2017-03-16T15:15:51.548000
20040120,BTCANYLO,BTCANYCO <8000ft,0.1,2.0,55.2,229.0,-303.0,62.61,2017-03-16T15:16:44.796000
20040121,BTCANYLO,BTCANYCO <8000ft,0.2,6.0,55.2,685.0,493.0,100.0,2017-03-16T15:17:39.088000
20040122,BTCANYLO,BTCANYCO <8000ft,0.2,5.0,55.2,590.0,498.0,100.0,2017-03-16T15:18:33.081000
20040123,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,399.0,-302.0,85.29,2017-03-16T15:19:25.549000
20040124,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,96.0,-439.0,19.67,2017-03-16T15:20:18.535000
20040125,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,44.0,-450.0,13.51,2017-03-16T15:21:13.596000
20040126,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,27.0,-351.0,10.51,2017-03-16T15:22:09.404000
20040127,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,19.0,-210.0,8.41,2017-03-16T15:23:04.456000
20040128,BTCANYLO,BTCANYCO <8000ft,0.2,6.0,55.2,735.0,50.0,76.58,2017-03-16T15:24:00.317000
20040129,BTCANYLO,BTCANYCO <8000ft,0.2,5.0,55.2,524.0,-66.0,75.68,2017-03-16T15:24:57.695000
20040130,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,353.0,-46.0,73.12,2017-03-16T15:25:52.215000
20040131,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,67.0,-29.0,30.33,2017-03-16T15:26:46.658000
20040201,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,351.0,307.0,100.0,2017-03-16T15:27:41.773000
20040202,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,291.0,264.0,87.99,2017-03-16T15:28:38.352000
20040203,BTCANYLO,BTCANYCO <8000ft,0.1,2.0,55.2,211.0,192.0,53.9,2017-03-16T15:29:33.878000
20040204,BTCANYLO,BTCANYCO <8000ft,0.1,2.0,55.2,197.0,-538.0,44.89,2017-03-16T15:30:31.030000
20040205,BTCANYLO,BTCANYCO <8000ft,0.2,6.0,55.2,733.0,209.0,100.0,2017-03-16T15:31:33.743000
20040206,BTCANYLO,BTCANYCO <8000ft,0.3,7.0,55.2,770.0,417.0,100.0,2017-03-16T15:32:31.293000
20040207,BTCANYLO,BTCANYCO <8000ft,0.2,5.0,55.2,628.0,561.0,98.95,2017-03-16T15:33:27.769000
20040208,BTCANYLO,BTCANYCO <8000ft,0.2,4.0,55.2,456.0,105.0,85.44,2017-03-16T15:34:24.948000
20040209,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,351.0,60.0,67.27,2017-03-16T15:35:21.465000
20040210,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,298.0,87.0,56.91,2017-03-16T15:36:21.979000
20040211,BTCANYLO,BTCANYCO <8000ft,0.1,4.0,55.2,418.0,221.0,85.74,2017-03-16T15:37:20.192000
20040212,BTCANYLO,BTCANYCO <8000ft,0.2,4.0,55.2,474.0,-259.0,87.84,2017-03-16T15:38:20.583000
20040213,BTCANYLO,BTCANYCO <8000ft,0.2,4.0,55.2,450.0,-320.0,86.19,2017-03-16T15:39:17.283000
20040214,BTCANYLO,BTCANYCO <8000ft,0.1,3.0,55.2,322.0,-306.0,71.32,2017-03-16T15:40:17.171000
20040215,BTCANYLO,BTCANYCO <8000ft,0.1,2.0,55.2,245.0,-211.0,65.92,2017-03-16T15:41:17.649000
20040216,BTCANYLO,BTCANYCO <8000ft,0.1,1.0,55.2,148.0,-203.0,47.15,2017-03-16T15:42:16.171000
20040217,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,86.0,-212.0,28.38,2017-03-16T15:43:16.949000
20040218,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,79.0,-339.0,17.72,2017-03-16T15:44:15.352000
20040219,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-474.0,0.0,2017-03-16T15:45:12.606000
20040220,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,103.0,-347.0,33.18,2017-03-16T15:46:10.568000
20040221,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,81.0,-241.0,30.18,2017-03-16T15:47:07.308000
20040222,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,57.0,-188.0,24.47,2017-03-16T15:48:04.311000
20040223,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,61.0,-87.0,24.62,2017-03-16T15:48:59.994000
20040224,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,4.0,-82.0,3.75,2017-03-16T15:49:55.746000
20040226,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T15:50:53.037000
20040227,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-103.0,0.0,2017-03-16T15:51:54.307000
20040228,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-81.0,0.0,2017-03-16T15:52:52.551000
20040229,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,106.0,49.0,64.86,2017-03-16T15:53:48.361000
20040301,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,31.0,-30.0,25.23,2017-03-16T15:54:43.695000
20040302,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,10.0,6.0,9.01,2017-03-16T15:55:40.751000
20040303,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,2.0,NULL,1.5,2017-03-16T15:56:36.932000
20040304,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.3,2017-03-16T15:57:32.409000
20040305,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,65.0,65.0,29.58,2017-03-16T15:58:29.031000
20040306,BTCANYLO,BTCANYCO <8000ft,0.0,1.0,55.2,97.0,97.0,50.75,2017-03-16T15:59:25.449000
20040307,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,19.0,-87.0,6.46,2017-03-16T16:00:20.643000
20040308,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,3.0,-28.0,1.5,2017-03-16T16:01:14.602000
20040309,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,1.0,-9.0,0.45,2017-03-16T16:02:09.970000
20040310,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-2.0,0.0,2017-03-16T16:03:01.628000
20040311,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T16:03:53.149000
20040312,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,12.0,-53.0,5.11,2017-03-16T16:04:45.350000
20040313,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-97.0,0.0,2017-03-16T16:05:36.543000
20040314,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-19.0,0.0,2017-03-16T16:06:27.005000
20040315,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-3.0,0.0,2017-03-16T16:07:17.492000
20040316,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-1.0,0.0,2017-03-16T16:08:11.363000
20040317,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T16:09:07.094000
20040318,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T16:09:59.837000
20040319,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,-12.0,0.0,2017-03-16T16:10:52.321000
20040320,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T16:11:41.922000
20040321,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T16:12:33.982000
20040322,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T16:13:24.390000
20040323,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T16:14:12.708000
20040324,BTCANYLO,BTCANYCO <8000ft,0.0,0.0,55.2,0.0,0.0,0.0,2017-03-16T16:15:02.051000
