Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.0,0.0,161.0,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.0,0.0,161.0,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.1,1.0,161.0,470.0,NULL,44.96,2017-03-16T13:36:35.448000
20031004,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.1,2.0,161.0,585.0,NULL,44.7,2017-03-16T13:37:16.917000
20031005,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.1,2.0,161.0,715.0,NULL,45.01,2017-03-16T13:38:02.164000
20031006,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.1,2.0,161.0,669.0,NULL,43.62,2017-03-16T13:38:45.858000
20031007,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.1,2.0,161.0,612.0,NULL,40.48,2017-03-16T13:39:29.686000
20031008,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.0,1.0,161.0,374.0,374.0,29.73,2017-03-16T13:40:14.192000
20031009,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.0,1.0,161.0,204.0,204.0,20.63,2017-03-16T13:40:58.759000
20031010,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.0,0.0,161.0,25.0,-445.0,4.84,2017-03-16T13:41:42.076000
20031011,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.0,0.0,161.0,9.0,-576.0,1.8,2017-03-16T13:42:26.252000
20031012,CRDC2,"RIO GRANDE AT THIRTYMILE BRIDGE, NR CREEDE, CO.",0.0,0.0,161.0,2.0,-713.0,0.67,2017-03-16T13:43:10.187000
