Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,0.0,0.0,0.0,2017-03-16T14:01:06.282000
20031103,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,52.0,52.0,1.74,2017-03-16T14:01:51.094000
20031104,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,525.0,525.0,14.27,2017-03-16T14:02:37.829000
20031105,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,269.0,269.0,7.43,2017-03-16T14:03:25.415000
20031106,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,161.0,NULL,4.8,2017-03-16T14:04:12.777000
20031107,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,111.0,111.0,3.58,2017-03-16T14:04:58.677000
20031108,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,67.0,67.0,2.34,2017-03-16T14:05:46.289000
20031109,DELC2L_F,GUNNISON - DELTA,0.0,1.0,1089.7,1200.0,1200.0,38.77,2017-03-16T14:06:34.841000
20031110,DELC2L_F,GUNNISON - DELTA,0.0,0.0,1089.7,246.0,194.0,7.62,2017-03-16T14:07:25.172000
20031111,DELC2L_F,GUNNISON - DELTA,0.3,8.0,1089.7,17164.0,16639.0,67.66,2017-03-16T14:08:14.646000
20031112,DELC2L_F,GUNNISON - DELTA,0.3,8.0,1089.7,17499.0,17230.0,60.03,2017-03-16T14:09:02.733000
20031113,DELC2L_F,GUNNISON - DELTA,0.3,7.0,1089.7,16464.0,16303.0,57.07,2017-03-16T14:09:50.769000
20031114,DELC2L_F,GUNNISON - DELTA,0.3,8.0,1089.7,17510.0,17399.0,49.72,2017-03-16T14:10:38.497000
20031115,DELC2L_F,GUNNISON - DELTA,0.3,9.0,1089.7,20122.0,20055.0,67.15,2017-03-16T14:11:29.080000
20031116,DELC2L_F,GUNNISON - DELTA,0.4,9.0,1089.7,20757.0,19557.0,59.98,2017-03-16T14:12:18.074000
20031117,DELC2L_F,GUNNISON - DELTA,0.3,9.0,1089.7,19755.0,19509.0,51.11,2017-03-16T14:13:06.409000
20031118,DELC2L_F,GUNNISON - DELTA,0.5,12.0,1089.7,27874.0,10710.0,73.63,2017-03-16T14:13:54.203000
20031119,DELC2L_F,GUNNISON - DELTA,0.5,12.0,1089.7,27322.0,9823.0,71.9,2017-03-16T14:14:41.638000
20031120,DELC2L_F,GUNNISON - DELTA,0.7,17.0,1089.7,40013.0,23549.0,70.4,2017-03-16T14:15:29.467000
20031121,DELC2L_F,GUNNISON - DELTA,0.7,17.0,1089.7,38839.0,21329.0,67.22,2017-03-16T14:16:16.538000
20031122,DELC2L_F,GUNNISON - DELTA,0.6,15.0,1089.7,35274.0,15152.0,48.01,2017-03-16T14:17:01.650000
20031123,DELC2L_F,GUNNISON - DELTA,0.6,16.0,1089.7,35632.0,14875.0,65.87,2017-03-16T14:17:49.103000
20031124,DELC2L_F,GUNNISON - DELTA,0.6,15.0,1089.7,35051.0,15296.0,53.21,2017-03-16T14:18:39.550000
20031125,DELC2L_F,GUNNISON - DELTA,0.6,15.0,1089.7,34523.0,6649.0,50.02,2017-03-16T14:19:30.263000
20031126,DELC2L_F,GUNNISON - DELTA,0.6,15.0,1089.7,33989.0,6667.0,46.83,2017-03-16T14:20:19.496000
20031127,DELC2L_F,GUNNISON - DELTA,0.6,15.0,1089.7,35180.0,-4833.0,54.81,2017-03-16T14:21:10.268000
20031128,DELC2L_F,GUNNISON - DELTA,0.6,15.0,1089.7,34664.0,-4175.0,48.93,2017-03-16T14:22:00.241000
20031129,DELC2L_F,GUNNISON - DELTA,0.6,15.0,1089.7,34137.0,-1137.0,47.18,2017-03-16T14:22:50.589000
20031130,DELC2L_F,GUNNISON - DELTA,0.6,15.0,1089.7,33514.0,-2118.0,46.11,2017-03-16T14:23:40.706000
20031201,DELC2L_F,GUNNISON - DELTA,0.6,14.0,1089.7,32975.0,-2076.0,45.27,2017-03-16T14:28:18.902000
20031202,DELC2L_F,GUNNISON - DELTA,0.6,14.0,1089.7,32823.0,-1700.0,44.23,2017-03-16T14:29:08.278000
20031203,DELC2L_F,GUNNISON - DELTA,0.6,14.0,1089.7,32133.0,-1856.0,43.41,2017-03-16T14:29:56.056000
20031204,DELC2L_F,GUNNISON - DELTA,0.5,14.0,1089.7,31755.0,-3425.0,42.92,2017-03-16T14:30:45.111000
20031205,DELC2L_F,GUNNISON - DELTA,0.5,14.0,1089.7,31384.0,-3280.0,42.4,2017-03-16T14:31:36.506000
20031206,DELC2L_F,GUNNISON - DELTA,0.5,14.0,1089.7,30896.0,-3241.0,42.01,2017-03-16T14:32:28.831000
20031207,DELC2L_F,GUNNISON - DELTA,0.5,13.0,1089.7,30148.0,-3366.0,41.02,2017-03-16T14:33:19.356000
20031208,DELC2L_F,GUNNISON - DELTA,0.5,13.0,1089.7,30739.0,-2236.0,50.18,2017-03-16T14:34:10.987000
20031209,DELC2L_F,GUNNISON - DELTA,0.7,18.0,1089.7,41632.0,8809.0,100.0,2017-03-16T14:35:03.321000
20031210,DELC2L_F,GUNNISON - DELTA,0.7,18.0,1089.7,40853.0,8720.0,100.0,2017-03-16T14:35:56.519000
20031211,DELC2L_F,GUNNISON - DELTA,0.7,18.0,1089.7,40129.0,8374.0,99.95,2017-03-16T14:36:55.587000
20031212,DELC2L_F,GUNNISON - DELTA,0.9,22.0,1089.7,49630.0,18246.0,96.12,2017-03-16T14:37:50.022000
20031213,DELC2L_F,GUNNISON - DELTA,0.8,21.0,1089.7,49174.0,18278.0,95.33,2017-03-16T14:38:45.459000
20031214,DELC2L_F,GUNNISON - DELTA,0.8,21.0,1089.7,48609.0,18461.0,93.77,2017-03-16T14:39:39.541000
20031215,DELC2L_F,GUNNISON - DELTA,0.8,21.0,1089.7,46920.0,16181.0,81.31,2017-03-16T14:40:36.389000
20031216,DELC2L_F,GUNNISON - DELTA,1.1,28.0,1089.7,63438.0,21806.0,100.0,2017-03-16T14:41:33.280000
20031217,DELC2L_F,GUNNISON - DELTA,1.1,28.0,1089.7,63081.0,22228.0,100.0,2017-03-16T14:42:27.074000
20031218,DELC2L_F,GUNNISON - DELTA,1.1,27.0,1089.7,62290.0,22161.0,100.0,2017-03-16T14:43:24.487000
20031219,DELC2L_F,GUNNISON - DELTA,1.3,33.0,1089.7,74451.0,24821.0,99.66,2017-03-16T14:44:18.402000
20031220,DELC2L_F,GUNNISON - DELTA,1.3,32.0,1089.7,73750.0,24576.0,99.59,2017-03-16T14:45:11.339000
20031221,DELC2L_F,GUNNISON - DELTA,1.3,32.0,1089.7,72846.0,24237.0,99.13,2017-03-16T14:46:03.653000
20031222,DELC2L_F,GUNNISON - DELTA,1.3,33.0,1089.7,75522.0,28602.0,95.36,2017-03-16T14:46:56.747000
20031223,DELC2L_F,GUNNISON - DELTA,1.3,34.0,1089.7,77163.0,13725.0,95.04,2017-03-16T14:47:47.215000
20031224,DELC2L_F,GUNNISON - DELTA,1.3,33.0,1089.7,76471.0,13390.0,94.44,2017-03-16T14:48:40.486000
20031225,DELC2L_F,GUNNISON - DELTA,1.3,33.0,1089.7,75703.0,13413.0,93.91,2017-03-16T14:49:34.990000
20031226,DELC2L_F,GUNNISON - DELTA,1.4,35.0,1089.7,79737.0,5286.0,95.79,2017-03-16T14:50:27.454000
20031227,DELC2L_F,GUNNISON - DELTA,1.5,38.0,1089.7,87184.0,13434.0,92.96,2017-03-16T14:51:20.948000
20031228,DELC2L_F,GUNNISON - DELTA,1.5,39.0,1089.7,89395.0,16549.0,92.6,2017-03-16T14:52:14.192000
20031229,DELC2L_F,GUNNISON - DELTA,1.5,39.0,1089.7,89579.0,14057.0,92.4,2017-03-16T14:53:06.956000
20031230,DELC2L_F,GUNNISON - DELTA,2.0,50.0,1089.7,113757.0,36594.0,92.93,2017-03-16T14:53:59.959000
20031231,DELC2L_F,GUNNISON - DELTA,2.3,57.0,1089.7,130969.0,54498.0,100.0,2017-03-16T14:54:52.875000
20040101,DELC2L_F,GUNNISON - DELTA,2.2,57.0,1089.7,129384.0,53681.0,100.0,2017-03-16T14:59:13.155000
20040102,DELC2L_F,GUNNISON - DELTA,2.2,57.0,1089.7,130402.0,50665.0,97.65,2017-03-16T15:00:07.453000
20040103,DELC2L_F,GUNNISON - DELTA,2.7,68.0,1089.7,156095.0,68911.0,95.9,2017-03-16T15:01:03.882000
20040104,DELC2L_F,GUNNISON - DELTA,3.0,77.0,1089.7,175778.0,86383.0,100.0,2017-03-16T15:02:00.471000
20040105,DELC2L_F,GUNNISON - DELTA,3.0,77.0,1089.7,177144.0,87565.0,100.0,2017-03-16T15:02:57.052000
20040106,DELC2L_F,GUNNISON - DELTA,3.1,79.0,1089.7,181005.0,67248.0,100.0,2017-03-16T15:03:51.798000
20040107,DELC2L_F,GUNNISON - DELTA,3.1,79.0,1089.7,180514.0,49545.0,100.0,2017-03-16T15:04:49.609000
20040108,DELC2L_F,GUNNISON - DELTA,3.2,80.0,1089.7,183520.0,54136.0,100.0,2017-03-16T15:05:45.659000
20040109,DELC2L_F,GUNNISON - DELTA,3.2,80.0,1089.7,183177.0,52775.0,100.0,2017-03-16T15:06:44.051000
20040110,DELC2L_F,GUNNISON - DELTA,3.1,80.0,1089.7,182616.0,26521.0,100.0,2017-03-16T15:07:39.864000
20040111,DELC2L_F,GUNNISON - DELTA,3.1,80.0,1089.7,181911.0,6133.0,100.0,2017-03-16T15:08:35.443000
20040112,DELC2L_F,GUNNISON - DELTA,3.1,79.0,1089.7,181160.0,4016.0,100.0,2017-03-16T15:09:30.992000
20040113,DELC2L_F,GUNNISON - DELTA,2.9,73.0,1089.7,167138.0,-13867.0,98.75,2017-03-16T15:10:25.167000
20040114,DELC2L_F,GUNNISON - DELTA,2.9,73.0,1089.7,166706.0,-13808.0,98.7,2017-03-16T15:11:21.015000
20040115,DELC2L_F,GUNNISON - DELTA,2.9,72.0,1089.7,165860.0,-17660.0,98.5,2017-03-16T15:12:15.135000
20040116,DELC2L_F,GUNNISON - DELTA,3.1,79.0,1089.7,179891.0,-3286.0,98.0,2017-03-16T15:13:09.087000
20040117,DELC2L_F,GUNNISON - DELTA,3.1,78.0,1089.7,179177.0,-3439.0,97.66,2017-03-16T15:14:02.809000
20040118,DELC2L_F,GUNNISON - DELTA,3.1,78.0,1089.7,178720.0,-3191.0,97.5,2017-03-16T15:14:56.229000
