Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,3.0,NULL,0.48,2017-03-16T13:38:45.858000
20031007,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,-3.0,0.0,2017-03-16T13:43:52.658000
20031014,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,33.0,33.0,6.08,2017-03-16T14:01:06.282000
20031103,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,35.0,35.0,6.47,2017-03-16T14:01:51.094000
20031104,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,165.0,165.0,23.09,2017-03-16T14:02:37.829000
20031105,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,112.0,112.0,16.2,2017-03-16T14:03:25.415000
20031106,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,162.0,NULL,21.42,2017-03-16T14:04:12.777000
20031107,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,127.0,127.0,17.0,2017-03-16T14:04:58.677000
20031108,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,0.0,258.7,190.0,190.0,22.7,2017-03-16T14:05:46.289000
20031109,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.1,2.0,258.7,1054.0,1021.0,85.62,2017-03-16T14:06:34.841000
20031110,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.0,1.0,258.7,473.0,438.0,36.98,2017-03-16T14:07:25.172000
20031111,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.1,2.0,258.7,1335.0,1170.0,79.19,2017-03-16T14:08:14.646000
20031112,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.1,3.0,258.7,1812.0,1700.0,84.5,2017-03-16T14:09:02.733000
20031113,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.2,5.0,258.7,2639.0,2477.0,77.43,2017-03-16T14:09:50.769000
20031114,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.2,4.0,258.7,2258.0,2131.0,56.93,2017-03-16T14:10:38.497000
20031115,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.2,6.0,258.7,3170.0,2980.0,88.98,2017-03-16T14:11:29.080000
20031116,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.2,6.0,258.7,3142.0,2088.0,83.96,2017-03-16T14:12:18.074000
20031117,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.2,5.0,258.7,2867.0,2394.0,72.08,2017-03-16T14:13:06.409000
20031118,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.4,10.0,258.7,5438.0,4103.0,100.0,2017-03-16T14:13:54.203000
20031119,GMRC2L_F,BLUE - GREEN MT RESERVOIR,0.4,10.0,258.7,5214.0,3402.0,100.0,2017-03-16T14:14:41.638000
20031120,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.2,30.0,258.7,16265.0,13626.0,77.07,2017-03-16T14:15:29.467000
20031121,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,28.0,258.7,15204.0,12946.0,62.79,2017-03-16T14:16:16.538000
20031122,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,27.0,258.7,14805.0,11635.0,61.13,2017-03-16T14:17:01.650000
20031123,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.2,30.0,258.7,16067.0,12925.0,100.0,2017-03-16T14:17:49.103000
20031124,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.2,29.0,258.7,15951.0,13084.0,100.0,2017-03-16T14:18:39.550000
20031125,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,28.0,258.7,15452.0,10014.0,84.89,2017-03-16T14:19:30.263000
20031126,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,28.0,258.7,15397.0,10183.0,76.05,2017-03-16T14:20:19.496000
20031127,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,29.0,258.7,15816.0,-449.0,78.39,2017-03-16T14:21:10.268000
20031128,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,29.0,258.7,15767.0,563.0,76.95,2017-03-16T14:22:00.241000
20031129,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,29.0,258.7,15481.0,676.0,73.81,2017-03-16T14:22:50.589000
20031130,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,27.0,258.7,14935.0,-1132.0,63.37,2017-03-16T14:23:40.706000
20031201,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,27.0,258.7,14493.0,-1458.0,58.76,2017-03-16T14:28:18.902000
20031202,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,27.0,258.7,14872.0,-580.0,56.64,2017-03-16T14:29:08.278000
20031203,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.1,27.0,258.7,14520.0,-877.0,55.68,2017-03-16T14:29:56.056000
20031204,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.0,26.0,258.7,14351.0,-1465.0,55.62,2017-03-16T14:30:45.111000
20031205,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.0,26.0,258.7,14210.0,-1557.0,55.24,2017-03-16T14:31:36.506000
20031206,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.0,26.0,258.7,14025.0,-1456.0,54.76,2017-03-16T14:32:28.831000
20031207,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.0,25.0,258.7,13606.0,-1329.0,53.44,2017-03-16T14:33:19.356000
20031208,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.0,25.0,258.7,13820.0,-673.0,79.99,2017-03-16T14:34:10.987000
20031209,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.2,30.0,258.7,16333.0,1461.0,100.0,2017-03-16T14:35:03.321000
20031210,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.2,30.0,258.7,16300.0,1780.0,100.0,2017-03-16T14:35:56.519000
20031211,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.2,30.0,258.7,16360.0,2009.0,100.0,2017-03-16T14:36:55.587000
20031212,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.8,45.0,258.7,24691.0,10481.0,98.78,2017-03-16T14:37:50.022000
20031213,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.8,45.0,258.7,24636.0,10611.0,98.78,2017-03-16T14:38:45.459000
20031214,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.8,45.0,258.7,24438.0,10832.0,98.78,2017-03-16T14:39:39.541000
20031215,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.7,44.0,258.7,23816.0,9996.0,97.53,2017-03-16T14:40:36.389000
20031216,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.9,47.0,258.7,25765.0,9432.0,100.0,2017-03-16T14:41:33.280000
20031217,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.9,47.0,258.7,25580.0,9280.0,100.0,2017-03-16T14:42:27.074000
20031218,GMRC2L_F,BLUE - GREEN MT RESERVOIR,1.8,46.0,258.7,25124.0,8764.0,99.3,2017-03-16T14:43:24.487000
20031219,GMRC2L_F,BLUE - GREEN MT RESERVOIR,2.3,58.0,258.7,31420.0,6729.0,100.0,2017-03-16T14:44:18.402000
20031220,GMRC2L_F,BLUE - GREEN MT RESERVOIR,2.2,57.0,258.7,31030.0,6394.0,100.0,2017-03-16T14:45:11.339000
20031221,GMRC2L_F,BLUE - GREEN MT RESERVOIR,2.2,56.0,258.7,30314.0,5876.0,100.0,2017-03-16T14:46:03.653000
20031222,GMRC2L_F,BLUE - GREEN MT RESERVOIR,2.2,56.0,258.7,30480.0,6664.0,100.0,2017-03-16T14:46:56.747000
20031223,GMRC2L_F,BLUE - GREEN MT RESERVOIR,2.3,57.0,258.7,31201.0,5436.0,100.0,2017-03-16T14:47:47.215000
20031224,GMRC2L_F,BLUE - GREEN MT RESERVOIR,2.2,57.0,258.7,30869.0,5289.0,100.0,2017-03-16T14:48:40.486000
20031225,GMRC2L_F,BLUE - GREEN MT RESERVOIR,2.2,56.0,258.7,30322.0,5198.0,99.68,2017-03-16T14:49:34.990000
20031226,GMRC2L_F,BLUE - GREEN MT RESERVOIR,2.2,55.0,258.7,30034.0,-1386.0,99.68,2017-03-16T14:50:27.454000
