Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,NULL,0.12,2017-03-16T13:38:02.164000
20031006,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,NULL,0.12,2017-03-16T13:38:45.858000
20031007,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,NULL,0.12,2017-03-16T13:39:29.686000
20031008,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,3.0,3.0,1.94,2017-03-16T13:40:14.192000
20031009,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.24,2017-03-16T13:40:58.759000
20031010,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,-3.0,0.0,2017-03-16T13:45:18.056000
20031016,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.0,0.0,68.3,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.3,7.0,68.3,934.0,934.0,67.52,2017-03-16T14:01:06.282000
20031103,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.5,12.0,68.3,1743.0,1743.0,71.88,2017-03-16T14:01:51.094000
20031104,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.6,16.0,68.3,2288.0,2288.0,87.88,2017-03-16T14:02:37.829000
20031105,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.6,15.0,68.3,2220.0,2220.0,79.03,2017-03-16T14:03:25.415000
20031106,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.6,15.0,68.3,2144.0,NULL,74.79,2017-03-16T14:04:12.777000
20031107,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.6,14.0,68.3,2059.0,2059.0,73.45,2017-03-16T14:04:58.677000
20031108,LEMC2H_F,FLORIDA - LEMON RES NR DURANGO,0.5,14.0,68.3,1984.0,1984.0,72.85,2017-03-16T14:05:46.289000
