Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,106.0,NULL,7.25,2017-03-16T13:36:35.448000
20031004,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,106.0,NULL,6.9,2017-03-16T13:37:16.917000
20031005,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,127.0,NULL,7.43,2017-03-16T13:38:02.164000
20031006,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,137.0,NULL,7.59,2017-03-16T13:38:45.858000
20031007,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,159.0,NULL,8.13,2017-03-16T13:39:29.686000
20031008,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,152.0,152.0,7.9,2017-03-16T13:40:14.192000
20031009,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,106.0,106.0,5.69,2017-03-16T13:40:58.759000
20031010,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,10.0,-96.0,1.16,2017-03-16T13:41:42.076000
20031011,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,2.0,-104.0,0.25,2017-03-16T13:42:26.252000
20031012,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,-127.0,0.0,2017-03-16T13:43:10.187000
20031013,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,-137.0,0.0,2017-03-16T13:43:52.658000
20031014,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,-159.0,0.0,2017-03-16T13:44:35.191000
20031015,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,-152.0,0.0,2017-03-16T13:45:18.056000
20031016,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,-106.0,0.0,2017-03-16T13:46:01.749000
20031017,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,-10.0,0.0,2017-03-16T13:46:45.689000
20031018,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,-2.0,0.0,2017-03-16T13:47:26.861000
20031019,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,LFGC2H_F,LAKE FORK - GATEVIEW,0.0,0.0,371.0,0.0,0.0,0.0,2017-03-16T13:53:04.087000
