Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T14:01:06.282000
20031103,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T14:01:51.094000
20031104,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T14:02:37.829000
20031105,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T14:03:25.415000
20031106,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,NULL,0.0,2017-03-16T14:04:12.777000
20031107,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T14:04:58.677000
20031108,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T14:05:46.289000
20031109,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T14:06:34.841000
20031110,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,0.0,0.0,0.0,2017-03-16T14:07:25.172000
20031111,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,8.0,8.0,0.64,2017-03-16T14:08:14.646000
20031112,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,4.0,4.0,0.23,2017-03-16T14:09:02.733000
20031113,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,66.0,66.0,7.15,2017-03-16T14:09:50.769000
20031114,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,843.0,843.0,11.14,2017-03-16T14:10:38.497000
20031115,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,710.0,710.0,8.16,2017-03-16T14:11:29.080000
20031116,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,680.0,680.0,7.75,2017-03-16T14:12:18.074000
20031117,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,650.0,650.0,7.52,2017-03-16T14:13:06.409000
20031118,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,715.0,707.0,10.56,2017-03-16T14:13:54.203000
20031119,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,619.0,615.0,6.7,2017-03-16T14:14:41.638000
20031120,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,582.0,516.0,6.3,2017-03-16T14:15:29.467000
20031121,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,464.0,-379.0,5.19,2017-03-16T14:16:16.538000
20031122,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,333.0,-377.0,4.19,2017-03-16T14:17:01.650000
20031123,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,280.0,-400.0,3.58,2017-03-16T14:17:49.103000
20031124,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,265.0,-385.0,3.49,2017-03-16T14:18:39.550000
20031125,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,255.0,-460.0,3.43,2017-03-16T14:19:30.263000
20031126,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,244.0,-375.0,3.33,2017-03-16T14:20:19.496000
20031127,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,230.0,-352.0,3.2,2017-03-16T14:21:10.268000
20031128,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,214.0,-250.0,3.02,2017-03-16T14:22:00.241000
20031129,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,207.0,-126.0,3.02,2017-03-16T14:22:50.589000
20031130,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,192.0,-88.0,2.87,2017-03-16T14:23:40.706000
20031201,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,153.0,-112.0,2.42,2017-03-16T14:28:18.902000
20031202,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,80.0,-175.0,1.3,2017-03-16T14:29:08.278000
20031203,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,69.0,-175.0,1.03,2017-03-16T14:29:56.056000
20031204,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,65.0,-165.0,0.85,2017-03-16T14:30:45.111000
20031205,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,63.0,-151.0,0.83,2017-03-16T14:31:36.506000
20031206,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,60.0,-147.0,0.83,2017-03-16T14:32:28.831000
20031207,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,54.0,-138.0,0.74,2017-03-16T14:33:19.356000
20031208,MRTC2L_F,MANCOS - NR TOWAOC,0.0,0.0,427.4,53.0,-100.0,0.68,2017-03-16T14:34:10.987000
20031209,MRTC2L_F,MANCOS - NR TOWAOC,0.1,1.0,427.4,1245.0,1165.0,67.22,2017-03-16T14:35:03.321000
20031210,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,812.0,743.0,50.53,2017-03-16T14:35:56.519000
20031211,MRTC2L_F,MANCOS - NR TOWAOC,0.0,1.0,427.4,586.0,521.0,39.68,2017-03-16T14:36:55.587000
