Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,13.0,13.0,2.98,2017-03-16T13:40:14.192000
20031009,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,6.0,6.0,1.79,2017-03-16T13:40:58.759000
20031010,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,-13.0,0.0,2017-03-16T13:45:18.056000
20031016,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,-6.0,0.0,2017-03-16T13:46:01.749000
20031017,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,0.0,166.6,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.0,1.0,166.6,229.0,229.0,36.8,2017-03-16T14:01:06.282000
20031103,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.1,2.0,166.6,567.0,567.0,55.99,2017-03-16T14:01:51.094000
20031104,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.2,5.0,166.6,1832.0,1832.0,97.02,2017-03-16T14:02:37.829000
20031105,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.2,5.0,166.6,1629.0,1629.0,90.2,2017-03-16T14:03:25.415000
20031106,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.2,4.0,166.6,1517.0,NULL,85.58,2017-03-16T14:04:12.777000
20031107,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.2,4.0,166.6,1371.0,1371.0,80.31,2017-03-16T14:04:58.677000
20031108,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.1,4.0,166.6,1258.0,1258.0,72.3,2017-03-16T14:05:46.289000
20031109,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.2,5.0,166.6,1619.0,1390.0,81.1,2017-03-16T14:06:34.841000
20031110,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.2,4.0,166.6,1489.0,922.0,69.12,2017-03-16T14:07:25.172000
20031111,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.4,10.0,166.6,3541.0,1709.0,100.0,2017-03-16T14:08:14.646000
20031112,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.4,11.0,166.6,3926.0,2297.0,100.0,2017-03-16T14:09:02.733000
20031113,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.4,10.0,166.6,3655.0,2138.0,99.4,2017-03-16T14:09:50.769000
20031114,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.4,11.0,166.6,3925.0,2554.0,97.76,2017-03-16T14:10:38.497000
20031115,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.6,15.0,166.6,5151.0,3893.0,100.0,2017-03-16T14:11:29.080000
20031116,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.6,15.0,166.6,5374.0,3755.0,100.0,2017-03-16T14:12:18.074000
20031117,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.6,15.0,166.6,5086.0,3597.0,99.25,2017-03-16T14:13:06.409000
20031118,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.9,22.0,166.6,7859.0,4318.0,100.0,2017-03-16T14:13:54.203000
20031119,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,0.9,22.0,166.6,7700.0,3774.0,100.0,2017-03-16T14:14:41.638000
20031120,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,3.1,78.0,166.6,27357.0,23702.0,100.0,2017-03-16T14:15:29.467000
20031121,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,3.0,76.0,166.6,26576.0,22651.0,99.95,2017-03-16T14:16:16.538000
20031122,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,2.9,74.0,166.6,25878.0,20727.0,98.61,2017-03-16T14:17:01.650000
20031123,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,3.0,75.0,166.6,26241.0,20867.0,100.0,2017-03-16T14:17:49.103000
20031124,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,2.9,75.0,166.6,26146.0,21060.0,100.0,2017-03-16T14:18:39.550000
20031125,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,2.9,74.0,166.6,25821.0,17962.0,99.35,2017-03-16T14:19:30.263000
20031126,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,2.9,73.0,166.6,25592.0,17892.0,98.06,2017-03-16T14:20:19.496000
20031127,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,3.0,75.0,166.6,26287.0,-1070.0,100.0,2017-03-16T14:21:10.268000
20031128,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,2.9,75.0,166.6,26168.0,-408.0,99.2,2017-03-16T14:22:00.241000
20031129,RCYC2H_F,CRYSTAL - NR REDSTONE  AT AVALANCHE CREEK,2.9,74.0,166.6,25857.0,-21.0,98.11,2017-03-16T14:22:50.589000
