Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.0,0.0,106.6,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.3,7.0,106.6,1467.0,1467.0,78.09,2017-03-16T14:01:06.282000
20031103,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.3,7.0,106.6,1551.0,1551.0,72.73,2017-03-16T14:01:51.094000
20031104,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.5,13.0,106.6,2815.0,2815.0,97.05,2017-03-16T14:02:37.829000
20031105,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.5,12.0,106.6,2635.0,2635.0,92.15,2017-03-16T14:03:25.415000
20031106,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.4,11.0,106.6,2444.0,NULL,83.22,2017-03-16T14:04:12.777000
20031107,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.4,10.0,106.6,2269.0,2269.0,80.11,2017-03-16T14:04:58.677000
20031108,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.4,9.0,106.6,2073.0,2073.0,75.52,2017-03-16T14:05:46.289000
20031109,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.4,9.0,106.6,2072.0,605.0,73.97,2017-03-16T14:06:34.841000
20031110,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.3,8.0,106.6,1754.0,203.0,67.83,2017-03-16T14:07:25.172000
20031111,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.3,8.0,106.6,1776.0,-1039.0,66.98,2017-03-16T14:08:14.646000
20031112,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.3,8.0,106.6,1722.0,-913.0,66.36,2017-03-16T14:09:02.733000
20031113,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.4,10.0,106.6,2315.0,-129.0,100.0,2017-03-16T14:09:50.769000
20031114,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",1.1,27.0,106.6,6087.0,3818.0,100.0,2017-03-16T14:10:38.497000
20031115,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",1.0,27.0,106.6,5936.0,3863.0,100.0,2017-03-16T14:11:29.080000
20031116,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",1.0,26.0,106.6,5742.0,3670.0,100.0,2017-03-16T14:12:18.074000
20031117,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",1.0,24.0,106.6,5426.0,3672.0,100.0,2017-03-16T14:13:06.409000
20031118,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.9,24.0,106.6,5365.0,3589.0,100.0,2017-03-16T14:13:54.203000
20031119,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",0.9,22.0,106.6,5022.0,3300.0,100.0,2017-03-16T14:14:41.638000
20031120,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.3,110.0,106.6,24700.0,22385.0,99.3,2017-03-16T14:15:29.467000
20031121,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.2,107.0,106.6,23964.0,17877.0,98.83,2017-03-16T14:16:16.538000
20031122,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.1,105.0,106.6,23397.0,17461.0,98.29,2017-03-16T14:17:01.650000
20031123,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.2,106.0,106.6,23617.0,17875.0,98.45,2017-03-16T14:17:49.103000
20031124,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.1,105.0,106.6,23462.0,18036.0,98.14,2017-03-16T14:18:39.550000
20031125,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.0,103.0,106.6,22976.0,17611.0,97.82,2017-03-16T14:19:30.263000
20031126,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.0,101.0,106.6,22621.0,17599.0,97.36,2017-03-16T14:20:19.496000
20031127,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.0,100.0,106.6,22478.0,-2222.0,97.2,2017-03-16T14:21:10.268000
20031128,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.9,100.0,106.6,22368.0,-1596.0,96.97,2017-03-16T14:22:00.241000
20031129,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.9,99.0,106.6,22083.0,-1314.0,96.74,2017-03-16T14:22:50.589000
20031130,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.8,96.0,106.6,21494.0,-2123.0,95.49,2017-03-16T14:23:40.706000
20031201,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.7,94.0,106.6,21062.0,-2400.0,94.64,2017-03-16T14:28:18.902000
20031202,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.8,95.0,106.6,21343.0,-1633.0,94.33,2017-03-16T14:29:08.278000
20031203,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.7,93.0,106.6,20867.0,-1754.0,94.25,2017-03-16T14:29:56.056000
20031204,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.6,92.0,106.6,20499.0,-1979.0,93.94,2017-03-16T14:30:45.111000
20031205,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.6,90.0,106.6,20211.0,-2157.0,93.86,2017-03-16T14:31:36.506000
20031206,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.5,89.0,106.6,19921.0,-2162.0,93.78,2017-03-16T14:32:28.831000
20031207,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.4,86.0,106.6,19346.0,-2148.0,93.63,2017-03-16T14:33:19.356000
20031208,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.3,84.0,106.6,18894.0,-2168.0,93.63,2017-03-16T14:34:10.987000
20031209,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.4,86.0,106.6,19335.0,-2008.0,94.02,2017-03-16T14:35:03.321000
20031210,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.4,86.0,106.6,19344.0,-1523.0,98.52,2017-03-16T14:35:56.519000
20031211,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3.3,85.0,106.6,19011.0,-1488.0,93.63,2017-03-16T14:36:55.587000
20031212,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.0,126.0,106.6,28297.0,8086.0,100.0,2017-03-16T14:37:50.022000
20031213,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.0,127.0,106.6,28345.0,8424.0,100.0,2017-03-16T14:38:45.459000
20031214,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.9,125.0,106.6,27987.0,8641.0,100.0,2017-03-16T14:39:39.541000
20031215,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.9,124.0,106.6,27643.0,8749.0,100.0,2017-03-16T14:40:36.389000
20031216,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.9,124.0,106.6,27702.0,8367.0,99.92,2017-03-16T14:41:33.280000
20031217,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.8,123.0,106.6,27434.0,8090.0,99.92,2017-03-16T14:42:27.074000
20031218,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",4.7,120.0,106.6,26870.0,7859.0,99.84,2017-03-16T14:43:24.487000
20031219,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.4,137.0,106.6,30714.0,2417.0,100.0,2017-03-16T14:44:18.402000
20031220,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.3,136.0,106.6,30359.0,2014.0,99.92,2017-03-16T14:45:11.339000
20031221,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.2,133.0,106.6,29742.0,1755.0,99.92,2017-03-16T14:46:03.653000
20031222,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.2,132.0,106.6,29484.0,1841.0,99.61,2017-03-16T14:46:56.747000
20031223,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.2,132.0,106.6,29571.0,1869.0,99.61,2017-03-16T14:47:47.215000
20031224,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.2,131.0,106.6,29352.0,1918.0,99.61,2017-03-16T14:48:40.486000
20031225,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.1,129.0,106.6,28889.0,2019.0,99.53,2017-03-16T14:49:34.990000
20031226,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.1,128.0,106.6,28731.0,-1983.0,99.46,2017-03-16T14:50:27.454000
20031227,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.5,141.0,106.6,31547.0,1188.0,100.0,2017-03-16T14:51:20.948000
20031228,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.6,141.0,106.6,31648.0,1906.0,100.0,2017-03-16T14:52:14.192000
20031229,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",5.6,141.0,106.6,31557.0,2073.0,100.0,2017-03-16T14:53:06.956000
20031230,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",7.1,181.0,106.6,40584.0,11013.0,100.0,2017-03-16T14:53:59.959000
20031231,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",7.1,180.0,106.6,40321.0,10969.0,100.0,2017-03-16T14:54:52.875000
20040101,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",7.0,178.0,106.6,39840.0,10951.0,99.92,2017-03-16T14:59:13.155000
20040102,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",7.0,177.0,106.6,39572.0,10841.0,99.92,2017-03-16T15:00:07.453000
20040103,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",7.1,181.0,106.6,40573.0,9026.0,99.92,2017-03-16T15:01:03.882000
20040104,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",7.4,188.0,106.6,42022.0,10374.0,100.0,2017-03-16T15:02:00.471000
20040105,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",7.4,187.0,106.6,41856.0,10299.0,100.0,2017-03-16T15:02:57.052000
20040106,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.1,283.0,106.6,63363.0,22779.0,100.0,2017-03-16T15:03:51.798000
20040107,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.1,281.0,106.6,62906.0,22585.0,100.0,2017-03-16T15:04:49.609000
20040108,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.0,279.0,106.6,62554.0,22714.0,100.0,2017-03-16T15:05:45.659000
20040109,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",10.9,278.0,106.6,62198.0,22626.0,100.0,2017-03-16T15:06:44.051000
20040110,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",10.9,277.0,106.6,61956.0,21383.0,100.0,2017-03-16T15:07:39.864000
20040111,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",10.9,276.0,106.6,61792.0,19770.0,100.0,2017-03-16T15:08:35.443000
20040112,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",10.8,275.0,106.6,61575.0,19719.0,100.0,2017-03-16T15:09:30.992000
20040113,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.2,284.0,106.6,63632.0,269.0,100.0,2017-03-16T15:10:25.167000
20040114,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.2,283.0,106.6,63423.0,517.0,100.0,2017-03-16T15:11:21.015000
20040115,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.1,283.0,106.6,63230.0,676.0,100.0,2017-03-16T15:12:15.135000
20040116,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.2,284.0,106.6,63534.0,1336.0,100.0,2017-03-16T15:13:09.087000
20040117,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.3,287.0,106.6,64148.0,2192.0,100.0,2017-03-16T15:14:02.809000
20040118,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.3,286.0,106.6,64115.0,2323.0,100.0,2017-03-16T15:14:56.229000
20040119,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.3,286.0,106.6,64008.0,2433.0,100.0,2017-03-16T15:15:51.548000
20040120,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.2,285.0,106.6,63812.0,180.0,100.0,2017-03-16T15:16:44.796000
20040121,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.5,292.0,106.6,65357.0,1934.0,100.0,2017-03-16T15:17:39.088000
20040122,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.5,292.0,106.6,65409.0,2179.0,100.0,2017-03-16T15:18:33.081000
20040123,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.5,292.0,106.6,65275.0,1741.0,100.0,2017-03-16T15:19:25.549000
20040124,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.4,291.0,106.6,65055.0,907.0,100.0,2017-03-16T15:20:18.535000
20040125,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.4,290.0,106.6,64908.0,793.0,100.0,2017-03-16T15:21:13.596000
20040126,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.4,291.0,106.6,65024.0,1016.0,100.0,2017-03-16T15:22:09.404000
20040127,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",11.4,290.0,106.6,64935.0,1123.0,100.0,2017-03-16T15:23:04.456000
20040128,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.3,312.0,106.6,69841.0,4484.0,100.0,2017-03-16T15:24:00.317000
20040129,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.3,311.0,106.6,69646.0,4237.0,100.0,2017-03-16T15:24:57.695000
20040130,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.2,310.0,106.6,69433.0,4158.0,100.0,2017-03-16T15:25:52.215000
20040131,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.2,309.0,106.6,69179.0,4124.0,100.0,2017-03-16T15:26:46.658000
20040201,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.2,309.0,106.6,69160.0,4252.0,100.0,2017-03-16T15:27:41.773000
20040202,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.4,314.0,106.6,70317.0,5293.0,100.0,2017-03-16T15:28:38.352000
20040203,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.3,313.0,106.6,70117.0,5182.0,100.0,2017-03-16T15:29:33.878000
20040204,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.4,315.0,106.6,70564.0,723.0,100.0,2017-03-16T15:30:31.030000
20040205,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.6,346.0,106.6,77521.0,7875.0,100.0,2017-03-16T15:31:33.743000
20040206,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.6,346.0,106.6,77486.0,8053.0,100.0,2017-03-16T15:32:31.293000
20040207,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.6,346.0,106.6,77377.0,8198.0,100.0,2017-03-16T15:33:27.769000
20040208,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.6,344.0,106.6,77057.0,7897.0,100.0,2017-03-16T15:34:24.948000
20040209,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.5,344.0,106.6,77018.0,6701.0,100.0,2017-03-16T15:35:21.465000
20040210,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.5,344.0,106.6,76938.0,6821.0,100.0,2017-03-16T15:36:21.979000
20040211,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.3,338.0,106.6,75691.0,5127.0,100.0,2017-03-16T15:37:20.192000
20040212,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.6,346.0,106.6,77422.0,-99.0,100.0,2017-03-16T15:38:20.583000
20040213,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.7,348.0,106.6,77867.0,381.0,100.0,2017-03-16T15:39:17.283000
20040214,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.7,347.0,106.6,77765.0,388.0,100.0,2017-03-16T15:40:17.171000
20040215,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.6,346.0,106.6,77547.0,490.0,100.0,2017-03-16T15:41:17.649000
20040216,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.6,345.0,106.6,77261.0,243.0,100.0,2017-03-16T15:42:16.171000
20040217,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.5,344.0,106.6,76991.0,53.0,100.0,2017-03-16T15:43:16.949000
20040218,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.9,327.0,106.6,73206.0,-2485.0,100.0,2017-03-16T15:44:15.352000
20040219,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",12.8,324.0,106.6,72594.0,-4828.0,100.0,2017-03-16T15:45:12.606000
20040220,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.2,336.0,106.6,75291.0,-2576.0,100.0,2017-03-16T15:46:10.568000
20040221,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.2,336.0,106.6,75288.0,-2477.0,100.0,2017-03-16T15:47:07.308000
20040222,TERC2,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",13.4,340.0,106.6,76036.0,-1511.0,100.0,2017-03-16T15:48:04.311000
