Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T14:01:06.282000
20031103,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,0.0,0.0,0.0,2017-03-16T14:01:51.094000
20031104,WHIC2L_F,WHITE - BLO MEEKER,0.1,1.0,274.1,861.0,861.0,100.0,2017-03-16T14:02:37.829000
20031105,WHIC2L_F,WHITE - BLO MEEKER,0.0,1.0,274.1,698.0,698.0,98.52,2017-03-16T14:03:25.415000
20031106,WHIC2L_F,WHITE - BLO MEEKER,0.1,2.0,274.1,939.0,NULL,94.71,2017-03-16T14:04:12.777000
20031107,WHIC2L_F,WHITE - BLO MEEKER,0.1,2.0,274.1,865.0,865.0,92.02,2017-03-16T14:04:58.677000
20031108,WHIC2L_F,WHITE - BLO MEEKER,0.0,1.0,274.1,527.0,527.0,56.12,2017-03-16T14:05:46.289000
20031109,WHIC2L_F,WHITE - BLO MEEKER,0.0,1.0,274.1,395.0,395.0,32.88,2017-03-16T14:06:34.841000
20031110,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,40.0,40.0,5.2,2017-03-16T14:07:25.172000
20031111,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,276.0,-585.0,19.98,2017-03-16T14:08:14.646000
20031112,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,186.0,-512.0,12.54,2017-03-16T14:09:02.733000
20031113,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,117.0,-822.0,9.01,2017-03-16T14:09:50.769000
20031114,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,39.0,-826.0,4.05,2017-03-16T14:10:38.497000
20031115,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,83.0,-444.0,8.58,2017-03-16T14:11:29.080000
20031116,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,173.0,-222.0,21.73,2017-03-16T14:12:18.074000
20031117,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,49.0,9.0,3.87,2017-03-16T14:13:06.409000
20031118,WHIC2L_F,WHITE - BLO MEEKER,0.2,5.0,274.1,2827.0,2551.0,100.0,2017-03-16T14:13:54.203000
20031119,WHIC2L_F,WHITE - BLO MEEKER,0.2,4.0,274.1,2556.0,2370.0,100.0,2017-03-16T14:14:41.638000
20031120,WHIC2L_F,WHITE - BLO MEEKER,0.1,2.0,274.1,1279.0,1162.0,61.29,2017-03-16T14:15:29.467000
20031121,WHIC2L_F,WHITE - BLO MEEKER,0.0,1.0,274.1,393.0,354.0,23.57,2017-03-16T14:16:16.538000
20031122,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,152.0,69.0,9.07,2017-03-16T14:17:01.650000
20031123,WHIC2L_F,WHITE - BLO MEEKER,0.2,4.0,274.1,2474.0,2301.0,100.0,2017-03-16T14:17:49.103000
20031124,WHIC2L_F,WHITE - BLO MEEKER,0.2,4.0,274.1,2361.0,2312.0,100.0,2017-03-16T14:18:39.550000
20031125,WHIC2L_F,WHITE - BLO MEEKER,0.1,3.0,274.1,1882.0,-945.0,100.0,2017-03-16T14:19:30.263000
20031126,WHIC2L_F,WHITE - BLO MEEKER,0.1,3.0,274.1,1577.0,-979.0,98.37,2017-03-16T14:20:19.496000
20031127,WHIC2L_F,WHITE - BLO MEEKER,0.1,3.0,274.1,1451.0,172.0,93.83,2017-03-16T14:21:10.268000
20031128,WHIC2L_F,WHITE - BLO MEEKER,0.1,2.0,274.1,1292.0,899.0,90.81,2017-03-16T14:22:00.241000
20031129,WHIC2L_F,WHITE - BLO MEEKER,0.1,2.0,274.1,958.0,806.0,83.05,2017-03-16T14:22:50.589000
20031130,WHIC2L_F,WHITE - BLO MEEKER,0.0,1.0,274.1,431.0,-2043.0,51.95,2017-03-16T14:23:40.706000
20031201,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,229.0,-2132.0,24.66,2017-03-16T14:28:18.902000
20031202,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,127.0,-1755.0,9.91,2017-03-16T14:29:08.278000
20031203,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,86.0,-1491.0,5.98,2017-03-16T14:29:56.056000
20031204,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,79.0,-1372.0,5.32,2017-03-16T14:30:45.111000
20031205,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,64.0,-1228.0,4.41,2017-03-16T14:31:36.506000
20031206,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,53.0,-905.0,3.6,2017-03-16T14:32:28.831000
20031207,WHIC2L_F,WHITE - BLO MEEKER,0.0,0.0,274.1,41.0,-390.0,2.81,2017-03-16T14:33:19.356000
20031208,WHIC2L_F,WHITE - BLO MEEKER,0.0,1.0,274.1,594.0,365.0,48.29,2017-03-16T14:34:10.987000
20031209,WHIC2L_F,WHITE - BLO MEEKER,0.4,9.0,274.1,5384.0,5257.0,100.0,2017-03-16T14:35:03.321000
20031210,WHIC2L_F,WHITE - BLO MEEKER,0.4,9.0,274.1,5221.0,5135.0,100.0,2017-03-16T14:35:56.519000
20031211,WHIC2L_F,WHITE - BLO MEEKER,0.3,8.0,274.1,4835.0,4756.0,100.0,2017-03-16T14:36:55.587000
20031212,WHIC2L_F,WHITE - BLO MEEKER,0.4,10.0,274.1,5633.0,5569.0,100.0,2017-03-16T14:37:50.022000
20031213,WHIC2L_F,WHITE - BLO MEEKER,0.4,10.0,274.1,5519.0,5466.0,100.0,2017-03-16T14:38:45.459000
20031214,WHIC2L_F,WHITE - BLO MEEKER,0.3,9.0,274.1,5105.0,5064.0,100.0,2017-03-16T14:39:39.541000
20031215,WHIC2L_F,WHITE - BLO MEEKER,0.3,7.0,274.1,4144.0,3550.0,100.0,2017-03-16T14:40:36.389000
20031216,WHIC2L_F,WHITE - BLO MEEKER,0.5,13.0,274.1,7620.0,2236.0,100.0,2017-03-16T14:41:33.280000
20031217,WHIC2L_F,WHITE - BLO MEEKER,0.5,13.0,274.1,7503.0,2282.0,100.0,2017-03-16T14:42:27.074000
20031218,WHIC2L_F,WHITE - BLO MEEKER,0.5,13.0,274.1,7204.0,2369.0,100.0,2017-03-16T14:43:24.487000
20031219,WHIC2L_F,WHITE - BLO MEEKER,0.5,12.0,274.1,7125.0,1492.0,100.0,2017-03-16T14:44:18.402000
20031220,WHIC2L_F,WHITE - BLO MEEKER,0.5,12.0,274.1,6727.0,1208.0,99.82,2017-03-16T14:45:11.339000
20031221,WHIC2L_F,WHITE - BLO MEEKER,0.4,11.0,274.1,6167.0,1062.0,95.86,2017-03-16T14:46:03.653000
20031222,WHIC2L_F,WHITE - BLO MEEKER,0.5,12.0,274.1,7116.0,2972.0,100.0,2017-03-16T14:46:56.747000
20031223,WHIC2L_F,WHITE - BLO MEEKER,0.5,13.0,274.1,7333.0,-287.0,100.0,2017-03-16T14:47:47.215000
20031224,WHIC2L_F,WHITE - BLO MEEKER,0.5,12.0,274.1,7059.0,-444.0,100.0,2017-03-16T14:48:40.486000
20031225,WHIC2L_F,WHITE - BLO MEEKER,0.4,11.0,274.1,6508.0,-696.0,93.5,2017-03-16T14:49:34.990000
20031226,WHIC2L_F,WHITE - BLO MEEKER,0.5,12.0,274.1,7167.0,42.0,100.0,2017-03-16T14:50:27.454000
20031227,WHIC2L_F,WHITE - BLO MEEKER,0.5,12.0,274.1,6628.0,-99.0,84.95,2017-03-16T14:51:20.948000
20031228,WHIC2L_F,WHITE - BLO MEEKER,0.5,13.0,274.1,7592.0,1425.0,100.0,2017-03-16T14:52:14.192000
20031229,WHIC2L_F,WHITE - BLO MEEKER,0.5,13.0,274.1,7675.0,559.0,98.73,2017-03-16T14:53:06.956000
20031230,WHIC2L_F,WHITE - BLO MEEKER,0.6,14.0,274.1,8128.0,795.0,95.19,2017-03-16T14:53:59.959000
20031231,WHIC2L_F,WHITE - BLO MEEKER,0.7,17.0,274.1,9967.0,2908.0,100.0,2017-03-16T14:54:52.875000
20040101,WHIC2L_F,WHITE - BLO MEEKER,0.6,16.0,274.1,9415.0,2907.0,94.32,2017-03-16T14:59:13.155000
20040102,WHIC2L_F,WHITE - BLO MEEKER,0.7,17.0,274.1,9525.0,2358.0,100.0,2017-03-16T15:00:07.453000
20040103,WHIC2L_F,WHITE - BLO MEEKER,0.8,21.0,274.1,12139.0,5511.0,100.0,2017-03-16T15:01:03.882000
20040104,WHIC2L_F,WHITE - BLO MEEKER,0.9,22.0,274.1,12686.0,5094.0,100.0,2017-03-16T15:02:00.471000
20040105,WHIC2L_F,WHITE - BLO MEEKER,0.9,22.0,274.1,12540.0,4865.0,100.0,2017-03-16T15:02:57.052000
20040106,WHIC2L_F,WHITE - BLO MEEKER,0.9,23.0,274.1,13195.0,5067.0,100.0,2017-03-16T15:03:51.798000
20040107,WHIC2L_F,WHITE - BLO MEEKER,0.9,23.0,274.1,12974.0,3007.0,99.3,2017-03-16T15:04:49.609000
20040108,WHIC2L_F,WHITE - BLO MEEKER,1.0,25.0,274.1,14266.0,4851.0,100.0,2017-03-16T15:05:45.659000
