Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in

20100101,CDMC2,0.002,0.0,0.009,0.0023,1314.0,47.7,0.079,0.0,0.354,0.0906
20100101,ARCC2,0.004,0.0,0.012,0.0029,2349.0,81.8,0.157,0.0,0.472,0.1142
20100101,LXHC2,0.0,0.0,0.006,0.0008,3284.0,26.5,0.0,0.0,0.236,0.0315
20100101,FWRC2U,0.003,0.0,0.099,0.0097,2082.0,55.6,0.118,0.0,3.898,0.3819
20100101,BONC2U,0.006,0.0,0.146,0.0154,6084.0,71.2,0.236,0.0,5.748,0.6063
20100101,LAMC2U,0.018,0.007,0.028,0.0039,1617.0,100.0,0.709,0.276,1.102,0.1535
20100101,LARC2U,0.012,0.002,0.025,0.0047,924.0,100.0,0.472,0.079,0.984,0.185
20100101,NPTC2U,0.01,0.002,0.017,0.0029,1227.0,100.0,0.394,0.079,0.669,0.1142
20100101,FSEC2U,0.004,0.001,0.009,0.0017,296.0,100.0,0.157,0.039,0.354,0.0669
20100101,CSNC2U,0.037,0.0,0.081,0.0234,71.0,95.8,1.457,0.0,3.189,0.9213
20100101,THTC2U,0.002,0.0,0.012,0.0026,1294.0,67.5,0.079,0.0,0.472,0.1024
20100101,SCVC2U,0.022,0.0,0.131,0.0295,933.0,99.5,0.866,0.0,5.157,1.1614
20100101,PNNC2U,0.005,0.001,0.012,0.0017,85.0,100.0,0.197,0.039,0.472,0.0669
20100101,FHAC2U,0.008,0.0,0.029,0.005,334.0,99.7,0.315,0.0,1.142,0.1969
20100101,PBAC2U,0.015,0.0,0.099,0.0144,829.0,91.9,0.591,0.0,3.898,0.5669
20100101,CBVC2,0.045,0.0,0.133,0.037,137.0,88.3,1.772,0.0,5.236,1.4567
20100101,ABVC2,0.041,0.0,0.132,0.0275,621.0,99.2,1.614,0.0,5.197,1.0827
20100101,CLVC2L,0.053,0.0,0.104,0.0255,178.0,96.6,2.087,0.0,4.094,1.0039
20100101,GCWC2,0.028,0.0,0.253,0.0497,1470.0,78.0,1.102,0.0,9.961,1.9567
20100101,BCHC2,0.01,0.0,0.1,0.013,886.0,73.0,0.394,0.0,3.937,0.5118
20100101,PGWC2L,0.021,0.0,0.122,0.0296,1283.0,58.5,0.827,0.0,4.803,1.1654
20100101,PGWC2U,0.092,0.039,0.132,0.0187,136.0,100.0,3.622,1.535,5.197,0.7362
20100101,CLRC2,0.036,0.029,0.042,0.0047,4.0,100.0,1.417,1.142,1.654,0.185
20100101,CHKC2,0.084,0.0,0.193,0.0522,370.0,96.8,3.307,0.0,7.598,2.0551
20100101,AERK1N,0.003,0.0,0.011,0.0028,6947.0,72.1,0.118,0.0,0.433,0.1102
20100101,NMIC2,0.001,0.0,0.005,0.0012,4206.0,29.8,0.039,0.0,0.197,0.0472
