Date_YYYYMMDD,LOCAL_ID,SWE_Mean_meters,SWE_Minimum_meters,SWE_Maximum_meters,SWE_StdDev_meters,Count_pixels,SnowCover_percent,SWE_Mean_inches,SWE_Min_inches,SWE_Max_inches,SWE_StdDev_inches
20151030,CDMC2,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0
20151030,ARCC2,0.0,0.0,0.0,0.0,2369.0,0.0,0.0,0.0,0.0,0.0
20151030,LXHC2,0.0,0.0,0.0,0.0,3284.0,0.0,0.0,0.0,0.0,0.0
20151030,FWRC2U,0.0,0.0,0.03,0.0025,2082.0,2.7,0.0,0.0,1.181,0.0984
20151030,BONC2U,0.0,0.0,0.024,0.0016,6084.0,2.5,0.0,0.0,0.945,0.063
20151030,LAMC2U,0.0,0.0,0.0,0.0,1617.0,0.0,0.0,0.0,0.0,0.0
20151030,LARC2U,0.0,0.0,0.0,0.0,924.0,0.0,0.0,0.0,0.0,0.0
20151030,NPTC2U,0.0,0.0,0.0,0.0,1227.0,0.0,0.0,0.0,0.0,0.0
20151030,FSEC2U,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0
20151030,CSNC2U,0.041,0.002,0.049,0.0086,71.0,100.0,1.614,0.079,1.929,0.3386
20151030,THTC2U,0.0,0.0,0.0,0.0,1295.0,0.0,0.0,0.0,0.0,0.0
20151030,SCVC2U,0.001,0.0,0.019,0.0035,933.0,10.4,0.039,0.0,0.748,0.1378
20151030,PNNC2U,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
20151030,FHAC2U,0.0,0.0,0.014,0.0012,334.0,2.4,0.0,0.0,0.551,0.0472
20151030,PBAC2U,0.011,0.0,0.054,0.0176,829.0,37.3,0.433,0.0,2.126,0.6929
20151030,CBVC2,0.01,0.0,0.025,0.0094,137.0,68.6,0.394,0.0,0.984,0.3701
20151030,ABVC2,0.008,0.0,0.033,0.0096,622.0,65.8,0.315,0.0,1.299,0.378
20151030,CLVC2L,0.002,0.0,0.028,0.0052,178.0,29.2,0.079,0.0,1.102,0.2047
20151030,GCWC2,0.003,0.0,0.029,0.007,1470.0,17.4,0.118,0.0,1.142,0.2756
20151030,BCHC2,0.0,0.0,0.017,0.0016,886.0,6.7,0.0,0.0,0.669,0.063
