Date_YYYYMMDD,LOCAL_ID,SWE_Mean_meters,SWE_Minimum_meters,SWE_Maximum_meters,SWE_StdDev_meters,Count_pixels,SnowCover_percent,SWE_Mean_inches,SWE_Min_inches,SWE_Max_inches,SWE_StdDev_inches

20170119,CDMC2,0.016,0.009,0.026,0.0032,1314.0,100.0,0.63,0.354,1.024,0.126
20170119,ARCC2,0.009,0.0,0.018,0.0038,2369.0,99.4,0.354,0.0,0.709,0.1496
20170119,LXHC2,0.017,0.009,0.029,0.0047,3284.0,100.0,0.669,0.354,1.142,0.185
20170119,FWRC2U,0.022,0.0,0.2,0.0125,2082.0,99.9,0.866,0.0,7.874,0.4921
20170119,BONC2U,0.015,0.0,0.233,0.0191,6084.0,83.8,0.591,0.0,9.173,0.752
20170119,LAMC2U,0.008,0.003,0.012,0.0015,1617.0,100.0,0.315,0.118,0.472,0.0591
20170119,LARC2U,0.005,0.001,0.01,0.002,924.0,100.0,0.197,0.039,0.394,0.0787
20170119,NPTC2U,0.003,0.0,0.012,0.0028,1227.0,79.0,0.118,0.0,0.472,0.1102
20170119,FSEC2U,0.001,0.0,0.007,0.0019,296.0,31.4,0.039,0.0,0.276,0.0748
20170119,CSNC2U,0.037,0.016,0.074,0.013,71.0,100.0,1.457,0.63,2.913,0.5118
20170119,THTC2U,0.03,0.017,0.043,0.0049,1295.0,100.0,1.181,0.669,1.693,0.1929
20170119,SCVC2U,0.013,0.003,0.063,0.0051,933.0,100.0,0.512,0.118,2.48,0.2008
20170119,PNNC2U,0.0,0.0,0.005,0.0011,85.0,11.8,0.0,0.0,0.197,0.0433
20170119,FHAC2U,0.002,0.0,0.02,0.0043,334.0,24.3,0.079,0.0,0.787,0.1693
20170119,PBAC2U,0.015,0.0,0.06,0.0112,829.0,93.1,0.591,0.0,2.362,0.4409
20170119,CBVC2,0.096,0.013,0.179,0.046,137.0,100.0,3.78,0.512,7.047,1.811
20170119,ABVC2,0.07,0.0,0.195,0.0464,622.0,97.4,2.756,0.0,7.677,1.8268
20170119,CLVC2L,0.077,0.0,0.214,0.0658,178.0,94.9,3.031,0.0,8.425,2.5906
20170119,GCWC2,0.042,0.0,0.28,0.0694,1470.0,86.0,1.654,0.0,11.024,2.7323
20170119,BCHC2,0.011,0.0,0.061,0.0111,886.0,71.3,0.433,0.0,2.402,0.437
20170119,PGWC2L,0.041,0.0,0.273,0.0652,1283.0,65.9,1.614,0.0,10.748,2.5669
20170119,PGWC2U,0.199,0.054,0.298,0.0744,136.0,100.0,7.835,2.126,11.732,2.9291
20170119,CLRC2,0.088,0.065,0.143,0.0267,6.0,100.0,3.465,2.559,5.63,1.0512
20170119,CHKC2,0.145,0.005,0.308,0.0779,370.0,100.0,5.709,0.197,12.126,3.0669
20170119,AERK1N,0.0,0.0,0.009,0.0003,6947.0,0.5,0.0,0.0,0.354,0.0118
20170119,NMIC2,0.024,0.013,0.044,0.0053,4206.0,100.0,0.945,0.512,1.732,0.2087
20170119,THTC2L,0.032,0.025,0.047,0.0034,3861.0,100.0,1.26,0.984,1.85,0.1339
20170119,DWSC2,0.004,0.0,0.009,0.0029,62.0,80.6,0.157,0.0,0.354,0.1142
20170119,HMCC2,0.204,0.029,0.327,0.0901,113.0,100.0,8.031,1.142,12.874,3.5472
20170119,TDDC2,0.022,0.01,0.039,0.0063,702.0,100.0,0.866,0.394,1.535,0.248
20170119,PTRC2,0.027,0.016,0.04,0.005,380.0,100.0,1.063,0.63,1.575,0.1969
20170119,FNEC2,0.007,0.0,0.032,0.0055,1236.0,84.5,0.276,0.0,1.26,0.2165
20170119,PDLC2,0.02,0.0,0.245,0.0361,3579.0,88.0,0.787,0.0,9.646,1.4213
20170119,CCAC2,0.153,0.016,0.3,0.0798,303.0,100.0,6.024,0.63,11.811,3.1417
20170119,CBAC2,0.136,0.005,0.253,0.0563,317.0,100.0,5.354,0.197,9.961,2.2165
20170119,HMZC2L,0.077,0.027,0.181,0.0352,208.0,100.0,3.031,1.063,7.126,1.3858
20170119,FCAC2,0.008,0.0,0.042,0.0069,1900.0,89.8,0.315,0.0,1.654,0.2717
20170119,PRTC2,0.004,0.0,0.027,0.0048,1906.0,57.3,0.157,0.0,1.063,0.189
20170119,PNNC2L,0.001,0.0,0.005,0.0013,699.0,37.8,0.039,0.0,0.197,0.0512
20170119,PBAC2L,0.002,0.0,0.011,0.0021,2071.0,48.9,0.079,0.0,0.433,0.0827
20170119,PDAC2,0.0,0.0,0.002,0.0007,11.0,36.4,0.0,0.0,0.079,0.0276
20170119,FCHC2,0.002,0.0,0.007,0.0017,354.0,69.5,0.079,0.0,0.276,0.0669
20170119,HMZC2U,0.161,0.055,0.227,0.0444,136.0,100.0,6.339,2.165,8.937,1.748
20170119,SALC2,0.029,0.0,0.173,0.038,529.0,75.8,1.142,0.0,6.811,1.4961
20170119,ARNC2,0.025,0.0,0.18,0.0339,968.0,73.7,0.984,0.0,7.087,1.3346
20170119,WSVC2,0.129,0.0,0.388,0.0987,1150.0,96.3,5.079,0.0,15.276,3.8858
20170119,CSNC2L,0.015,0.0,0.049,0.0077,428.0,99.5,0.591,0.0,1.929,0.3031
20170119,KENO2,0.012,0.0,0.044,0.0124,4877.0,57.7,0.472,0.0,1.732,0.4882
20170119,FWRC2L,0.022,0.013,0.03,0.004,2551.0,100.0,0.866,0.512,1.181,0.1575
20170119,TBTC2,0.012,0.0,0.023,0.0055,2041.0,97.0,0.472,0.0,0.906,0.2165
20170119,PGMC2,0.011,0.0,0.033,0.0071,807.0,92.9,0.433,0.0,1.299,0.2795
20170119,CNCC2,0.004,0.0,0.014,0.004,1097.0,63.0,0.157,0.0,0.551,0.1575
20170119,FHAC2L,0.0,0.0,0.002,0.0001,432.0,0.2,0.0,0.0,0.079,0.0039
20170119,LARC2L,0.005,0.0,0.022,0.0053,9166.0,77.7,0.197,0.0,0.866,0.2087
20170119,LAPC2,0.017,0.001,0.026,0.0037,2511.0,100.0,0.669,0.039,1.024,0.1457
20170119,SCVC2L,0.011,0.0,0.021,0.0043,1274.0,99.2,0.433,0.0,0.827,0.1693
20170119,CLVC2U,0.214,0.146,0.273,0.0273,64.0,100.0,8.425,5.748,10.748,1.0748
20170119,NPTC2L,0.006,0.0,0.019,0.005,4176.0,78.1,0.236,0.0,0.748,0.1969
20170119,ADLC2,0.002,0.0,0.015,0.0027,879.0,64.2,0.079,0.0,0.591,0.1063
20170119,BONC2L,0.019,0.009,0.026,0.0038,1616.0,100.0,0.748,0.354,1.024,0.1496
20170119,LAMC2L,0.003,0.0,0.018,0.004,12808.0,56.8,0.118,0.0,0.709,0.1575
20170119,EHTK1,0.001,0.0,0.031,0.0034,7589.0,9.4,0.039,0.0,1.22,0.1339
20170119,COOK1,0.009,0.0,0.03,0.0072,6316.0,81.6,0.354,0.0,1.181,0.2835
20170119,FSEC2L,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0
20170119,DRFK1,0.003,0.0,0.027,0.0048,10838.0,29.5,0.118,0.0,1.063,0.189
20170119,JMCC2,0.014,0.0,0.026,0.005,3188.0,99.6,0.551,0.0,1.024,0.1969
20170119,LMAC2,0.012,0.0,0.025,0.0046,5683.0,99.5,0.472,0.0,0.984,0.1811
20170119,SYRK1,0.0,0.0,0.017,0.0013,1258.0,6.8,0.0,0.0,0.669,0.0512
20170119,KENK1,0.0,0.0,0.0,0.0,783.0,0.0,0.0,0.0,0.0,0.0
20170119,FRGO2,0.0,0.0,0.009,0.001,17634.0,4.2,0.0,0.0,0.354,0.0394
20170119,TQLC2,0.294,0.0,0.382,0.0743,125.0,96.8,11.575,0.0,15.039,2.9252
20170119,LEDC2,0.24,0.055,0.382,0.0732,449.0,100.0,9.449,2.165,15.039,2.8819
20170119,TINC2,0.199,0.024,0.322,0.0923,318.0,100.0,7.835,0.945,12.677,3.6339
20170119,ABEC2,0.207,0.04,0.363,0.0699,366.0,100.0,8.15,1.575,14.291,2.752
20170119,TLRC2,0.151,0.0,0.257,0.0583,135.0,94.8,5.945,0.0,10.118,2.2953
20170119,ARGC2,0.14,0.036,0.285,0.0462,403.0,100.0,5.512,1.417,11.22,1.8189
20170119,BTNFDRLO,0.014,0.0,0.081,0.0125,89.0,98.9,0.551,0.0,3.189,0.4921
20170119,BTNFDRM,0.068,0.0,0.275,0.0541,196.0,96.4,2.677,0.0,10.827,2.1299
20170119,BTNFDRUP,0.19,0.044,0.275,0.0543,84.0,100.0,7.48,1.732,10.827,2.1378
20170119,BTCANYLO,0.013,0.0,0.064,0.0139,249.0,95.6,0.512,0.0,2.52,0.5472
20170119,BTCANYUP,0.051,0.0,0.23,0.0582,118.0,88.1,2.008,0.0,9.055,2.2913
20170119,BTABESLO,0.074,0.039,0.105,0.0189,33.0,100.0,2.913,1.535,4.134,0.7441
