Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in
20170120,CDMC2,0.01,0.0,0.022,0.0047,1314.0,98.0,0.394,0.0,0.866,0.185
20170120,ARCC2,0.003,0.0,0.016,0.0033,2369.0,55.3,0.118,0.0,0.63,0.1299
20170120,LXHC2,0.01,0.0,0.024,0.005,3284.0,93.2,0.394,0.0,0.945,0.1969
20170120,FWRC2U,0.003,0.0,0.193,0.0129,2082.0,16.7,0.118,0.0,7.598,0.5079
20170120,BONC2U,0.007,0.0,0.234,0.0197,6084.0,43.8,0.276,0.0,9.213,0.7756
20170120,LAMC2U,0.001,0.0,0.007,0.0014,1617.0,66.0,0.039,0.0,0.276,0.0551
20170120,LARC2U,0.0,0.0,0.005,0.0006,924.0,14.9,0.0,0.0,0.197,0.0236
20170120,NPTC2U,0.0,0.0,0.007,0.0011,1227.0,15.3,0.0,0.0,0.276,0.0433
20170120,FSEC2U,0.0,0.0,0.003,0.0003,296.0,2.0,0.0,0.0,0.118,0.0118
20170120,CSNC2U,0.055,0.012,0.104,0.021,71.0,100.0,2.165,0.472,4.094,0.8268
20170120,THTC2U,0.008,0.0,0.029,0.0073,1295.0,75.8,0.315,0.0,1.142,0.2874
20170120,SCVC2U,0.004,0.0,0.062,0.0073,933.0,39.8,0.157,0.0,2.441,0.2874
20170120,PNNC2U,0.0,0.0,0.002,0.0002,85.0,2.4,0.0,0.0,0.079,0.0079
20170120,FHAC2U,0.001,0.0,0.015,0.0032,334.0,16.8,0.039,0.0,0.591,0.126
20170120,PBAC2U,0.016,0.0,0.093,0.0217,829.0,62.6,0.63,0.0,3.661,0.8543
20170120,CBVC2,0.097,0.016,0.183,0.0472,137.0,100.0,3.819,0.63,7.205,1.8583
20170120,ABVC2,0.071,0.001,0.2,0.047,622.0,100.0,2.795,0.039,7.874,1.8504
20170120,CLVC2L,0.075,0.001,0.21,0.0671,178.0,100.0,2.953,0.039,8.268,2.6417
20170120,GCWC2,0.041,0.0,0.283,0.0706,1470.0,95.6,1.614,0.0,11.142,2.7795
20170120,BCHC2,0.011,0.0,0.063,0.0111,886.0,98.6,0.433,0.0,2.48,0.437
20170120,PGWC2L,0.038,0.0,0.27,0.0644,1283.0,63.8,1.496,0.0,10.63,2.5354
20170120,PGWC2U,0.186,0.02,0.296,0.0802,136.0,100.0,7.323,0.787,11.654,3.1575
20170120,CLRC2,0.088,0.065,0.144,0.0274,6.0,100.0,3.465,2.559,5.669,1.0787
