Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,245.0,NULL,40.53,2017-03-16T13:38:45.858000
20031007,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,11.0,11.0,1.75,2017-03-16T13:40:14.192000
20031009,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.06,2017-03-16T13:40:58.759000
20031010,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,-245.0,0.0,2017-03-16T13:43:52.658000
20031014,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,-11.0,0.0,2017-03-16T13:45:18.056000
20031016,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,ALEC2H_F,EAST RIVER - AT ALMONT,0.0,0.0,288.3,0.0,0.0,0.0,2017-03-16T13:53:04.087000
