Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,30.0,NULL,33.14,2017-03-16T13:38:02.164000
20031006,BUEC2H_F,BLUE - BLUE RIVER,0.0,1.0,42.5,53.0,NULL,26.9,2017-03-16T13:38:45.858000
20031007,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,29.0,NULL,20.47,2017-03-16T13:39:29.686000
20031008,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,13.0,13.0,12.48,2017-03-16T13:40:14.192000
20031009,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,2.0,2.0,2.34,2017-03-16T13:40:58.759000
20031010,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,-30.0,0.0,2017-03-16T13:43:10.187000
20031013,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,-53.0,0.0,2017-03-16T13:43:52.658000
20031014,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,-29.0,0.0,2017-03-16T13:44:35.191000
20031015,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,-13.0,0.0,2017-03-16T13:45:18.056000
20031016,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,-2.0,0.0,2017-03-16T13:46:01.749000
20031017,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,41.0,41.0,46.39,2017-03-16T14:01:06.282000
20031103,BUEC2H_F,BLUE - BLUE RIVER,0.0,0.0,42.5,43.0,43.0,46.98,2017-03-16T14:01:51.094000
20031104,BUEC2H_F,BLUE - BLUE RIVER,0.0,1.0,42.5,100.0,100.0,85.96,2017-03-16T14:02:37.829000
20031105,BUEC2H_F,BLUE - BLUE RIVER,0.0,1.0,42.5,60.0,60.0,56.73,2017-03-16T14:03:25.415000
20031106,BUEC2H_F,BLUE - BLUE RIVER,0.0,1.0,42.5,52.0,NULL,48.34,2017-03-16T14:04:12.777000
