Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,CLAFTCLO,CLAFTCCO <8000ft,0.0,0.0,125.3,0.0,0.0,0.0,2017-03-16T13:50:56.002000
