Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,0.0,99.2,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,DCKC2H_F,DALLAS CREEK - NR RIDGWAY,0.0,1.0,99.2,185.0,185.0,19.28,2017-03-16T14:01:06.282000
