Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:01:06.282000
20031103,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:01:51.094000
20031104,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:02:37.829000
20031105,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:03:25.415000
20031106,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,NULL,0.0,2017-03-16T14:04:12.777000
20031107,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:04:58.677000
20031108,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:05:46.289000
20031109,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:06:34.841000
20031110,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:07:25.172000
20031111,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:08:14.646000
20031112,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:09:02.733000
20031113,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:09:50.769000
20031114,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:10:38.497000
20031115,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:11:29.080000
20031116,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:12:18.074000
20031117,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:13:06.409000
20031118,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:13:54.203000
20031119,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:14:41.638000
20031120,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:15:29.467000
20031121,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:16:16.538000
20031122,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:17:01.650000
20031123,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,250.0,250.0,6.56,2017-03-16T14:17:49.103000
20031124,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,5.0,5.0,0.14,2017-03-16T14:18:39.550000
20031125,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:19:30.263000
20031126,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:20:19.496000
20031127,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:21:10.268000
20031128,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:22:00.241000
20031129,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:22:50.589000
20031130,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,-250.0,0.0,2017-03-16T14:23:40.706000
20031201,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,-5.0,0.0,2017-03-16T14:28:18.902000
20031202,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:29:08.278000
20031203,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:29:56.056000
20031204,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:30:45.111000
20031205,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:31:36.506000
20031206,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:32:28.831000
20031207,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:33:19.356000
20031208,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:34:10.987000
20031209,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:35:03.321000
20031210,DDCK1,ARKANSAS RVR,0.0,1.0,1815.2,3265.0,3265.0,71.02,2017-03-16T14:35:56.519000
20031211,DDCK1,ARKANSAS RVR,0.0,1.0,1815.2,2523.0,2523.0,54.65,2017-03-16T14:36:55.587000
20031212,DDCK1,ARKANSAS RVR,0.3,6.0,1815.2,24313.0,24313.0,93.76,2017-03-16T14:37:50.022000
20031213,DDCK1,ARKANSAS RVR,0.3,9.0,1815.2,32501.0,32501.0,95.84,2017-03-16T14:38:45.459000
20031214,DDCK1,ARKANSAS RVR,0.3,8.0,1815.2,31558.0,31558.0,93.73,2017-03-16T14:39:39.541000
20031215,DDCK1,ARKANSAS RVR,0.2,5.0,1815.2,18364.0,18364.0,72.02,2017-03-16T14:40:36.389000
20031216,DDCK1,ARKANSAS RVR,0.1,1.0,1815.2,5270.0,5270.0,47.16,2017-03-16T14:41:33.280000
20031217,DDCK1,ARKANSAS RVR,0.0,1.0,1815.2,3238.0,-27.0,15.71,2017-03-16T14:42:27.074000
20031218,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,-2523.0,0.0,2017-03-16T14:43:24.487000
20031219,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,-24313.0,0.0,2017-03-16T14:44:18.402000
20031220,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,-32501.0,0.0,2017-03-16T14:45:11.339000
20031221,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,-31558.0,0.0,2017-03-16T14:46:03.653000
20031222,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,-18364.0,0.0,2017-03-16T14:46:56.747000
20031223,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,-5270.0,0.0,2017-03-16T14:47:47.215000
20031224,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,-3238.0,0.0,2017-03-16T14:48:40.486000
20031225,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:49:34.990000
20031226,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:50:27.454000
20031227,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:51:20.948000
20031228,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:52:14.192000
20031229,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:53:06.956000
20031230,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:53:59.959000
20031231,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:54:52.875000
20040101,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T14:59:13.155000
20040102,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T15:00:07.453000
20040103,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T15:01:03.882000
20040104,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T15:02:00.471000
20040105,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T15:02:57.052000
20040106,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T15:03:51.798000
20040107,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T15:04:49.609000
20040108,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T15:05:45.659000
20040109,DDCK1,ARKANSAS RVR,0.0,0.0,1815.2,0.0,0.0,0.0,2017-03-16T15:06:44.051000
