Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T14:01:06.282000
20031103,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,0.0,0.0,0.0,2017-03-16T14:01:51.094000
20031104,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,24.0,24.0,5.83,2017-03-16T14:02:37.829000
20031105,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,10.0,10.0,3.25,2017-03-16T14:03:25.415000
20031106,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,22.0,NULL,5.21,2017-03-16T14:04:12.777000
20031107,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,19.0,19.0,4.71,2017-03-16T14:04:58.677000
20031108,FRASER-L,Fraser - NCWCD Lower,0.0,1.0,147.8,285.0,285.0,88.52,2017-03-16T14:05:46.289000
20031109,FRASER-L,Fraser - NCWCD Lower,0.1,2.0,147.8,620.0,620.0,98.26,2017-03-16T14:06:34.841000
20031110,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,38.0,38.0,7.51,2017-03-16T14:07:25.172000
20031111,FRASER-L,Fraser - NCWCD Lower,0.0,0.0,147.8,70.0,46.0,12.83,2017-03-16T14:08:14.646000
20031112,FRASER-L,Fraser - NCWCD Lower,0.0,1.0,147.8,170.0,160.0,34.57,2017-03-16T14:09:02.733000
20031113,FRASER-L,Fraser - NCWCD Lower,0.1,3.0,147.8,870.0,848.0,41.12,2017-03-16T14:09:50.769000
20031114,FRASER-L,Fraser - NCWCD Lower,0.1,2.0,147.8,656.0,637.0,13.78,2017-03-16T14:10:38.497000
