Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,1116.0,1116.0,20.84,2017-03-16T13:55:59.982000
20030930,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,JESU1L_F,GREEN - NR JENSEN,0.0,1.0,2436.9,4220.0,4220.0,78.07,2017-03-16T14:00:20.775000
20031102,JESU1L_F,GREEN - NR JENSEN,0.0,0.0,2436.9,2371.0,2371.0,42.09,2017-03-16T14:01:06.282000
20031103,JESU1L_F,GREEN - NR JENSEN,0.0,1.0,2436.9,4094.0,4094.0,71.39,2017-03-16T14:01:51.094000
20031104,JESU1L_F,GREEN - NR JENSEN,0.2,4.0,2436.9,22320.0,22320.0,98.75,2017-03-16T14:02:37.829000
20031105,JESU1L_F,GREEN - NR JENSEN,0.2,4.0,2436.9,20971.0,20971.0,95.93,2017-03-16T14:03:25.415000
20031106,JESU1L_F,GREEN - NR JENSEN,0.2,5.0,2436.9,26830.0,NULL,99.82,2017-03-16T14:04:12.777000
20031107,JESU1L_F,GREEN - NR JENSEN,0.2,5.0,2436.9,26268.0,25152.0,98.73,2017-03-16T14:04:58.677000
20031108,JESU1L_F,GREEN - NR JENSEN,0.2,5.0,2436.9,25588.0,21368.0,96.18,2017-03-16T14:05:46.289000
20031109,JESU1L_F,GREEN - NR JENSEN,0.2,5.0,2436.9,27162.0,24791.0,94.07,2017-03-16T14:06:34.841000
