Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:01:06.282000
20031103,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:01:51.094000
20031104,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:02:37.829000
20031105,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:03:25.415000
20031106,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,NULL,0.0,2017-03-16T14:04:12.777000
20031107,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:04:58.677000
20031108,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:05:46.289000
20031109,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:06:34.841000
20031110,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:07:25.172000
20031111,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:08:14.646000
20031112,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:09:02.733000
20031113,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:09:50.769000
20031114,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:10:38.497000
20031115,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:11:29.080000
20031116,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:12:18.074000
20031117,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:13:06.409000
20031118,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:13:54.203000
20031119,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:14:41.638000
20031120,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:15:29.467000
20031121,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:16:16.538000
20031122,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:17:01.650000
20031123,LMAC2,"Arkansas River at Lamar, CO",0.1,2.0,1294.7,4941.0,4941.0,100.0,2017-03-16T14:17:49.103000
20031124,LMAC2,"Arkansas River at Lamar, CO",0.1,1.0,1294.7,3614.0,3614.0,88.77,2017-03-16T14:18:39.550000
20031125,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,1248.0,1248.0,44.51,2017-03-16T14:19:30.263000
20031126,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:20:19.496000
20031127,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:21:10.268000
20031128,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:22:00.241000
20031129,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:22:50.589000
20031130,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,-4941.0,0.0,2017-03-16T14:23:40.706000
20031201,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,-3614.0,0.0,2017-03-16T14:28:18.902000
20031202,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,-1248.0,0.0,2017-03-16T14:29:08.278000
20031203,LMAC2,"Arkansas River at Lamar, CO",0.0,0.0,1294.7,0.0,0.0,0.0,2017-03-16T14:29:56.056000
