Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:01:06.282000
20031103,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:01:51.094000
20031104,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:02:37.829000
20031105,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:03:25.415000
20031106,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,NULL,0.0,2017-03-16T14:04:12.777000
20031107,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:04:58.677000
20031108,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:05:46.289000
20031109,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:06:34.841000
20031110,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:07:25.172000
20031111,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:08:14.646000
20031112,PGWC2L,PURGATOIRE RVR,0.0,0.0,292.4,0.0,0.0,0.0,2017-03-16T14:09:02.733000
20031113,PGWC2L,PURGATOIRE RVR,0.1,2.0,292.4,1481.0,1481.0,97.42,2017-03-16T14:09:50.769000
20031114,PGWC2L,PURGATOIRE RVR,0.3,9.0,292.4,5339.0,5339.0,100.0,2017-03-16T14:10:38.497000
20031115,PGWC2L,PURGATOIRE RVR,0.2,6.0,292.4,3685.0,3685.0,84.7,2017-03-16T14:11:29.080000
20031116,PGWC2L,PURGATOIRE RVR,0.2,5.0,292.4,2996.0,2996.0,78.98,2017-03-16T14:12:18.074000
20031117,PGWC2L,PURGATOIRE RVR,0.1,3.0,292.4,2006.0,2006.0,67.71,2017-03-16T14:13:06.409000
20031118,PGWC2L,PURGATOIRE RVR,0.1,2.0,292.4,1466.0,1466.0,59.32,2017-03-16T14:13:54.203000
20031119,PGWC2L,PURGATOIRE RVR,0.1,2.0,292.4,1066.0,1066.0,47.37,2017-03-16T14:14:41.638000
20031120,PGWC2L,PURGATOIRE RVR,0.1,2.0,292.4,1523.0,42.0,22.61,2017-03-16T14:15:29.467000
20031121,PGWC2L,PURGATOIRE RVR,0.0,1.0,292.4,622.0,-4717.0,10.65,2017-03-16T14:16:16.538000
20031122,PGWC2L,PURGATOIRE RVR,0.0,1.0,292.4,513.0,-3172.0,9.55,2017-03-16T14:17:01.650000
20031123,PGWC2L,PURGATOIRE RVR,0.0,1.0,292.4,649.0,-2347.0,31.39,2017-03-16T14:17:49.103000
20031124,PGWC2L,PURGATOIRE RVR,0.0,1.0,292.4,498.0,-1508.0,10.54,2017-03-16T14:18:39.550000
20031125,PGWC2L,PURGATOIRE RVR,0.0,1.0,292.4,433.0,-1033.0,8.9,2017-03-16T14:19:30.263000
20031126,PGWC2L,PURGATOIRE RVR,0.0,1.0,292.4,393.0,-673.0,8.53,2017-03-16T14:20:19.496000
20031127,PGWC2L,PURGATOIRE RVR,0.0,1.0,292.4,374.0,-1149.0,8.44,2017-03-16T14:21:10.268000
20031128,PGWC2L,PURGATOIRE RVR,0.0,1.0,292.4,366.0,-256.0,8.33,2017-03-16T14:22:00.241000
