Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,66.0,NULL,6.75,2017-03-16T13:36:35.448000
20031004,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,52.0,NULL,5.82,2017-03-16T13:37:16.917000
20031005,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,56.0,NULL,6.11,2017-03-16T13:38:02.164000
20031006,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,59.0,NULL,5.9,2017-03-16T13:38:45.858000
20031007,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,66.0,NULL,5.58,2017-03-16T13:39:29.686000
20031008,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,86.0,86.0,5.55,2017-03-16T13:40:14.192000
20031009,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,59.0,59.0,4.54,2017-03-16T13:40:58.759000
20031010,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,3.0,-63.0,0.4,2017-03-16T13:41:42.076000
20031011,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,-52.0,0.05,2017-03-16T13:42:26.252000
20031012,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,-56.0,0.0,2017-03-16T13:43:10.187000
20031013,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,-59.0,0.0,2017-03-16T13:43:52.658000
20031014,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,-66.0,0.0,2017-03-16T13:44:35.191000
20031015,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,-86.0,0.0,2017-03-16T13:45:18.056000
20031016,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,-59.0,0.0,2017-03-16T13:46:01.749000
20031017,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,-3.0,0.0,2017-03-16T13:46:45.689000
20031018,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,SMPC2H_F,SAN MIGUEL - NR PLACERVILLE,0.0,0.0,310.3,0.0,0.0,0.0,2017-03-16T13:49:33.098000
