Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:48:09.735000
20031020,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:48:50.507000
20031021,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:49:33.098000
20031022,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:53:45.558000
20031028,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:54:27.220000
20031029,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:55:09.870000
20031031,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T13:55:59.982000
20030930,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,NULL,0.0,2017-03-16T13:58:43.987000
20031101,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,0.0,0.0,0.0,2017-03-16T14:00:20.775000
20031102,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,23.0,23.0,1.54,2017-03-16T14:01:06.282000
20031103,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,47.0,47.0,2.69,2017-03-16T14:01:51.094000
20031104,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,230.0,230.0,11.81,2017-03-16T14:02:37.829000
20031105,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,87.0,87.0,3.89,2017-03-16T14:03:25.415000
20031106,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,64.0,NULL,2.97,2017-03-16T14:04:12.777000
20031107,TOMC2L_F,TOMICHI CREEK - GUNNISON,0.0,0.0,725.4,39.0,39.0,1.95,2017-03-16T14:04:58.677000
