Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,157.0,NULL,10.12,2017-03-16T13:36:35.448000
20031004,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,200.0,NULL,10.74,2017-03-16T13:37:16.917000
20031005,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,1.0,250.5,275.0,NULL,11.4,2017-03-16T13:38:02.164000
20031006,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,1.0,250.5,269.0,NULL,11.11,2017-03-16T13:38:45.858000
20031007,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,1.0,250.5,287.0,NULL,10.71,2017-03-16T13:39:29.686000
20031008,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,1.0,250.5,303.0,303.0,11.34,2017-03-16T13:40:14.192000
20031009,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,225.0,225.0,9.16,2017-03-16T13:40:58.759000
20031010,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,119.0,-38.0,5.59,2017-03-16T13:41:42.076000
20031011,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,99.0,-101.0,4.46,2017-03-16T13:42:26.252000
20031012,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,70.0,-205.0,3.7,2017-03-16T13:43:10.187000
20031013,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,42.0,-227.0,3.14,2017-03-16T13:43:52.658000
20031014,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,11.0,-276.0,1.62,2017-03-16T13:44:35.191000
20031015,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,-303.0,0.0,2017-03-16T13:45:18.056000
20031016,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,-225.0,0.0,2017-03-16T13:46:01.749000
20031017,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,-119.0,0.0,2017-03-16T13:46:45.689000
20031018,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,-99.0,0.0,2017-03-16T13:47:26.861000
20031019,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,-70.0,0.0,2017-03-16T13:48:09.735000
20031020,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,-42.0,0.0,2017-03-16T13:48:50.507000
20031021,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,-11.0,0.0,2017-03-16T13:49:33.098000
20031022,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,0.0,0.0,2017-03-16T13:50:14.305000
20031023,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,0.0,0.0,2017-03-16T13:50:56.002000
20031024,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,0.0,0.0,2017-03-16T13:51:38.521000
20031025,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,0.0,0.0,2017-03-16T13:52:20.959000
20031026,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,0.0,0.0,2017-03-16T13:53:04.087000
20031027,VCRC2H_F,LOS PINOS - NR BAYFIELD VALLECITO RES,0.0,0.0,250.5,0.0,0.0,0.0,2017-03-16T13:53:45.558000
