Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20160210,3286,"CROW CR AT CHEYENNE, WY",1.1,29.0,261.2,15730.0,-8544.0,64.46,2017-03-31T00:38:01.156000
20160210,3278,LODGEPOLE CR. AT RALTON N,1.6,40.0,514.2,43382.0,-1715.0,99.97,2017-03-31T00:38:01.156000
20160210,3297,"LODGEPOLE CR NR BURNS, WY",0.8,20.0,327.6,14020.0,-12176.0,57.83,2017-03-31T00:38:01.156000
20160210,CDMC2,"Arkansas River below Catlin Dam, CO",0.1,2.0,301.0,1397.0,-6745.0,41.47,2017-03-31T00:38:01.156000
20160210,ARCC2,"Arkansas River at Rocky Ford, CO",0.4,10.0,542.5,11710.0,-8673.0,58.52,2017-03-31T00:38:01.156000
20160210,LXHC2,"Arkansas River at La Junta, CO",0.0,0.0,752.3,11.0,-10118.0,0.28,2017-03-31T00:38:01.156000
20160210,FWRC2U,APISHAPA RVR UP ELEV,0.1,3.0,475.1,3208.0,-6548.0,22.23,2017-03-31T00:38:01.156000
20160210,BONC2U,HUERFANO RVR UP ELEV,0.4,9.0,1392.1,26002.0,-24645.0,47.37,2017-03-31T00:38:01.156000
20160210,LAMC2U,BIG SANDY CRK UP ELEV,1.4,35.0,366.2,26908.0,-2303.0,100.0,2017-03-31T00:38:01.156000
20160210,LARC2U,ARKANSAS RVR UP ELEV,1.4,35.0,212.1,15513.0,-801.0,100.0,2017-03-31T00:38:01.156000
20160210,NPTC2U,"Arkansas River at Nepesta, CO UP ELEV",1.3,34.0,282.3,19884.0,-528.0,100.0,2017-03-31T00:38:01.156000
20160210,FSEC2U,FOUNTAIN CRK UP ELEV,1.2,31.0,66.7,4356.0,-505.0,100.0,2017-03-31T00:38:01.156000
20160210,CSNC2U,FOUNTAIN CRK NR COLO SPGS UP ELEV,2.8,72.0,16.5,2501.0,48.0,100.0,2017-03-31T00:38:01.156000
20160210,THTC2U,PURGATOIRE RVR UP ELEV,0.0,0.0,296.1,165.0,-2023.0,16.81,2017-03-31T00:38:01.156000
20160210,SCVC2U,"St Charles River at Vineland, CO UP ELEV",1.4,36.0,213.2,16217.0,681.0,88.81,2017-03-31T00:38:01.156000
